LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,index,longitude,latitude,corrected address,extracted_on
Mallee Highway,WAGANT,C,Jun-2018,"Mallee Highway, WAGANT",844,844.0,141.4114978,-35.2292392,"Mallee Hwy, Australia",2018-August-06
Mallee Highway,WALPEUP,C,Jun-2018,"Mallee Highway, WALPEUP",845,845.0,142.0391557,-35.1276342,"Mallee Hwy, Walpeup VIC 3507, Australia",2018-August-06
Maltravers Road,EAGLEMONT,C,Apr-2018,"Maltravers Road, EAGLEMONT",846,846.0,145.0572042,-37.7691498,"Maltravers Rd, Eaglemont VIC 3084, Australia",2018-August-06
Malvern Road,GLEN IRIS,C,Jul-2018,"Malvern Road, GLEN IRIS",847,847.0,145.0551018,-37.857405,"Malvern Rd, Glen Iris VIC 3146, Australia",2018-August-06
Malvern Road,TOORAK,C,Jul-2018,"Malvern Road, TOORAK",848,848.0,145.0182784,-37.8500813,"Malvern Rd, Toorak VIC 3142, Australia",2018-August-06
Manks Road,CLYDE,B,Jul-2018,"Manks Road, CLYDE",849,849.0,145.3595917,-38.1674878,"Manks Rd, Clyde VIC 3978, Australia",2018-August-06
Mansfield-Whitfield Road,BRIDGE CREEK,C,Apr-2018,"Mansfield-Whitfield Road, BRIDGE CREEK",850,850.0,146.259655,-36.9179954,"Mansfield-Whitfield Rd, Victoria, Australia",2018-August-06
Mansfield-Whitfield Road,TOLMIE,ABC,Apr-2018,"Mansfield-Whitfield Road, TOLMIE",851,851.0,146.25474,-36.9197594,"Mansfield-Whitfield Rd, Tolmie VIC 3723, Australia",2018-August-06
Mansfield-Woods Point Road,HOWQUA,C,Apr-2018,"Mansfield-Woods Point Road, HOWQUA",852,852.0,146.160859,-37.2168453,"Mansfield-Woods Point Rd, Howqua VIC 3723, Australia",2018-August-06
Mansfield-Woods Point Road,MANSFIELD,C,Apr-2018,"Mansfield-Woods Point Road, MANSFIELD",853,853.0,146.2042966,-37.4487775,"Mansfield-Woods Point Rd, Victoria 3723, Australia",2018-August-06
Mansfield-Woods Point Road,PIRIES,AC,Apr-2018,"Mansfield-Woods Point Road, PIRIES",854,854.0,146.1432781,-37.183944,"Mansfield-Woods Point Rd, Piries VIC 3723, Australia",2018-August-06
Manuka Road,BERWICK,B,Jul-2018,"Manuka Road, BERWICK",855,855.0,145.3654757,-38.0326332,"Manuka Rd, Berwick VIC 3806, Australia",2018-August-06
Maribyrnong Road,ASCOT VALE,BC,Dec-2017,"Maribyrnong Road, ASCOT VALE",856,856.0,144.9146202,-37.7715655,"Maribyrnong Rd, Ascot Vale VIC 3032, Australia",2018-August-06
Marine Drive,SAFETY BEACH,C,May-2018,"Marine Drive, SAFETY BEACH",857,857.0,144.9886583,-38.317045,"Marine Dr, Safety Beach VIC 3936, Australia",2018-August-06
Marine Parade,ELWOOD,BC,Jul-2018,"Marine Parade, ELWOOD",858,858.0,144.9770526,-37.8762505,"Marine Parade, Elwood VIC 3184, Australia",2018-August-06
Market Road,WERRIBEE,C,Feb-2018,"Market Road, WERRIBEE",859,859.0,144.6569884,-37.8939596,"Market Rd, Werribee VIC 3030, Australia",2018-August-06
Marlo Road,MARLO,BC,Apr-2018,"Marlo Road, MARLO",860,860.0,148.5083493,-37.7405364,"Marlo Rd, Victoria 3888, Australia",2018-August-06
Maroondah Highway,BONNIE DOON,AC,Apr-2018,"Maroondah Highway, BONNIE DOON",861,861.0,145.8815259,-37.0242447,"Maroondah Hwy, Bonnie Doon VIC 3720, Australia",2018-August-06
Maroondah Highway,BUXTON,AC,Apr-2018,"Maroondah Highway, BUXTON",862,862.0,145.6990568,-37.4370983,"Maroondah Hwy, Buxton VIC 3711, Australia",2018-August-06
Maroondah Highway,COLDSTREAM,ABC,Mar-2018,"Maroondah Highway, COLDSTREAM",863,863.0,145.4169554,-37.7006344,"Maroondah Hwy, Coldstream VIC 3770, Australia",2018-August-06
Maroondah Highway,HEALESVILLE,ABC,Mar-2018,"Maroondah Highway, HEALESVILLE",864,864.0,145.5398471,-37.6463628,"Maroondah Hwy, Healesville VIC 3777, Australia",2018-August-06
Maroondah Highway,KANUMBRA,C,Apr-2018,"Maroondah Highway, KANUMBRA",865,865.0,145.6705152,-37.0477857,"Maroondah Hwy, Kanumbra VIC 3719, Australia",2018-August-06
Maroondah Highway,LILYDALE,ABC,Mar-2018,"Maroondah Highway, LILYDALE",866,866.0,145.3639561,-37.7539375,"Maroondah Hwy, Lilydale VIC 3140, Australia",2018-August-06
Maroondah Highway,MAINDAMPLE,AC,Apr-2018,"Maroondah Highway, MAINDAMPLE",867,867.0,145.9591297,-37.0272054,"Maroondah Hwy, Maindample VIC 3723, Australia",2018-August-06
Maroondah Highway,MANSFIELD,C,Apr-2018,"Maroondah Highway, MANSFIELD",868,868.0,146.0186697,-37.03851,"Maroondah Hwy, Mansfield VIC 3722, Australia",2018-August-06
Maroondah Highway,MERTON,ABC,Apr-2018,"Maroondah Highway, MERTON",869,869.0,145.7456084,-36.9999604,"Maroondah Hwy, Merton VIC 3715, Australia",2018-August-06
Maroondah Highway,NARBETHONG,C,Apr-2018,"Maroondah Highway, NARBETHONG",870,870.0,145.6598757,-37.5504431,"Maroondah Hwy, Narbethong VIC 3778, Australia",2018-August-06
Maroondah Highway,TAGGERTY,C,Apr-2018,"Maroondah Highway, TAGGERTY",871,871.0,145.7128726,-37.3496585,"Maroondah Hwy, Taggerty VIC 3714, Australia",2018-August-06
Maroondah highway,WOODFIELD,C,Apr-2018,"Maroondah highway, WOODFIELD",872,872.0,145.6969399,-37.4405332,"Maroondah Hwy, Victoria, Australia",2018-August-06
Maroondah Highway,YARCK,A,Apr-2018,"Maroondah Highway, YARCK",873,873.0,145.6323786,-37.0842426,"Maroondah Hwy, Yarck VIC 3719, Australia",2018-August-06
Maroondah Link Highway,CATHKIN,C,Apr-2018,"Maroondah Link Highway, CATHKIN",874,874.0,145.5895091,-37.1401676,"Maroondah Link Hwy, Cathkin VIC 3714, Australia",2018-August-06
Maryborough Road,ASCOT,C,Jul-2018,"Maryborough Road, ASCOT",875,875.0,143.8032698,-37.3972419,"Ballarat-Maryborough Rd, Ascot VIC 3364, Australia",2018-August-06
Marysville Road,GRANTON,C,Apr-2018,"Marysville Road, GRANTON",876,876.0,145.7078224,-37.5396055,"Granton Rd, Marysville VIC 3779, Australia",2018-August-06
Maryvale Road,MORWELL,BC,Apr-2018,"Maryvale Road, MORWELL",877,877.0,146.4162295,-38.2212394,"Maryvale Rd, Morwell VIC 3840, Australia",2018-August-06
Mascoma Street,STRATHMORE,BC,Dec-2017,"Mascoma Street, STRATHMORE",878,878.0,144.9131525,-37.7231904,"Mascoma St, Strathmore VIC 3041, Australia",2018-August-06
Masons Road,MERNDA,ABC,Apr-2018,"Masons Road, MERNDA",879,879.0,145.0764418,-37.5836632,"Masons Rd, Mernda VIC 3754, Australia",2018-August-06
McCallums Creek Road,CRAIGIE,ABC,May-2018,"McCallums Creek Road, CRAIGIE",880,880.0,143.7760765,-37.1182928,"McCallums Creek Road, Craigie VIC 3465, Australia",2018-August-06
McClelland Drive,LANGWARRIN,ABC,May-2018,"McClelland Drive, LANGWARRIN",881,881.0,145.1720912,-38.1528283,"McClelland Dr, Langwarrin VIC 3910, Australia",2018-August-06
McCormicks Road,CARRUM DOWNS,ABC,May-2018,"McCormicks Road, CARRUM DOWNS",882,882.0,145.1984007,-38.0952064,"McCormicks Rd, Carrum Downs VIC 3201, Australia",2018-August-06
McCormicks Road,SKYE,ABC,May-2018,"McCormicks Road, SKYE",883,883.0,145.1981683,-38.0962219,"McCormicks Rd, Skye VIC 3977, Australia",2018-August-06
McCurdy Road,HERNE HILL,BC,Apr-2018,"McCurdy Road, HERNE HILL",884,884.0,144.3189356,-38.1353565,"McCurdy Rd, Herne Hill VIC 3218, Australia",2018-August-06
McIvor Highway,DERRINAL,C,May-2018,"McIvor Highway, DERRINAL",885,885.0,144.6486083,-36.8809945,"McIvor Hwy, Derrinal VIC 3523, Australia",2018-August-06
McIvor Highway,KNOWSLEY,C,May-2018,"McIvor Highway, KNOWSLEY",886,886.0,144.590479,-36.8288297,"McIvor Hwy, Knowsley VIC 3523, Australia",2018-August-06
McKenzie Street,WONTHAGGI,C,Nov-2017,"McKenzie Street, WONTHAGGI",887,887.0,145.5932033,-38.6027652,"McKenzie St, Wonthaggi VIC 3995, Australia",2018-August-06
McMahens Road,BANGHOLME,C,Apr-2018,"McMahens Road, BANGHOLME",888,888.0,145.1702688,-38.0453958,"Mcmahens Rd, Bangholme VIC 3175, Australia",2018-August-06
McMahons Road,FRANKSTON,C,May-2018,"McMahons Road, FRANKSTON",889,889.0,145.1372082,-38.1425348,"Mcmahons Rd, Frankston VIC 3199, Australia",2018-August-06
Meadowvale  Drive,GROVEDALE,BC,Jun-2018,"Meadowvale  Drive, GROVEDALE",890,890.0,144.3182461,-38.2032967,"Meadowvale Dr, Grovedale VIC 3216, Australia",2018-August-06
Medway Road,CRAIGIEBURN,C,Dec-2017,"Medway Road, CRAIGIEBURN",891,891.0,144.9321665,-37.5917574,"Medway Rd, Craigieburn VIC 3064, Australia",2018-August-06
Meeniyan-Promontory Road,BUFFALO,BC,Apr-2018,"Meeniyan-Promontory Road, BUFFALO",892,892.0,146.0198647,-38.6527778,"Meeniyan-Promontory Rd, Buffalo VIC 3958, Australia",2018-August-06
Melaluka Road,LEOPOLD,ABC,Apr-2018,"Melaluka Road, LEOPOLD",893,893.0,144.453584,-38.1960836,"Melaluka Rd, Leopold VIC 3224, Australia",2018-August-06
Melaluka Road,MOOLAP,ABC,Apr-2018,"Melaluka Road, MOOLAP",894,894.0,144.453584,-38.1960836,"Melaluka Rd, Leopold VIC 3224, Australia",2018-August-06
Melba Highway,DEVLIN BRIDGE,C,May-2018,"Melba Highway, DEVLIN BRIDGE",895,895.0,145.4737573,-37.3826322,"Melba Highway & Devlins Bridge, Glenburn VIC 3717, Australia",2018-August-06
Melba Highway,DIXONS CREEK,ABC,Mar-2018,"Melba Highway, DIXONS CREEK",896,896.0,145.4108807,-37.583951,"Melba Hwy, Dixons Creek VIC 3775, Australia",2018-August-06
Melba Highway,GLENBURN,C,May-2018,"Melba Highway, GLENBURN",897,897.0,145.4433148,-37.4143443,"Melba Hwy, Glenburn VIC 3717, Australia",2018-August-06
Melba Highway,LIMESTONE,AC,Apr-2018,"Melba Highway, LIMESTONE",898,898.0,145.4216473,-37.4651701,"Melba Hwy, Victoria, Australia",2018-August-06
Melba Highway,YARRA GLEN,ABC,Mar-2018,"Melba Highway, YARRA GLEN",899,899.0,145.3934485,-37.6473328,"Melba Hwy, Yarra Glen VIC 3775, Australia",2018-August-06
Melbourne Road,BLAIRGOWRIE,C,Jul-2018,"Melbourne Road, BLAIRGOWRIE",900,900.0,144.7689854,-38.3671423,"Melbourne Rd, Blairgowrie VIC 3942, Australia",2018-August-06
Melbourne Road,RYE,C,May-2018,"Melbourne Road, RYE",901,901.0,144.7999738,-38.378396,"Melbourne Rd, Rye VIC 3941, Australia",2018-August-06
Melbourne Road,SORRENTO,C,May-2018,"Melbourne Road, SORRENTO",902,902.0,144.7472662,-38.3512811,"Melbourne Rd, Sorrento VIC 3943, Australia",2018-August-06
Melbourne-Lancefield Road,BOLINDA,AC,Apr-2018,"Melbourne-Lancefield Road, BOLINDA",903,903.0,144.7458097,-37.4386243,"Melbourne-Lancefield Rd, Bolinda VIC 3432, Australia",2018-August-06
Melbourne-Lancefield Road,CLARKEFIELD,AC,Apr-2018,"Melbourne-Lancefield Road, CLARKEFIELD",904,904.0,144.7465127,-37.4691242,"Melbourne-Lancefield Rd, Clarkefield VIC 3430, Australia",2018-August-06
Melbourne-Lancefield Road,LANCEFIELD,AC,Apr-2018,"Melbourne-Lancefield Road, LANCEFIELD",905,905.0,144.7370379,-37.3038664,"Melbourne-Lancefield Rd, Lancefield VIC 3435, Australia",2018-August-06
Melbourne-Lancefield Road,MONEGEETTA,AC,Apr-2018,"Melbourne-Lancefield Road, MONEGEETTA",906,906.0,144.748378,-37.395476,"Melbourne-Lancefield Rd, Monegeetta VIC 3433, Australia",2018-August-06
Melbourne-Lancefield Road,ROMSEY,AC,Apr-2018,"Melbourne-Lancefield Road, ROMSEY",907,907.0,144.7469207,-37.3832838,"Melbourne-Lancefield Rd, Romsey VIC 3434, Australia",2018-August-06
Melbourne-Lancefield Road,SUNBURY,C,Dec-2017,"Melbourne-Lancefield Road, SUNBURY",908,908.0,144.7560707,-37.4899394,"Melbourne-Lancefield Rd, Sunbury VIC 3429, Australia",2018-August-06
Melton  Road,GISBORNE (WGS),AC,Jun-2018,"Melton  Road, GISBORNE (WGS)",909,909.0,144.5654887,-37.5268822,"Melton Rd, Gisborne VIC 3437, Australia",2018-August-06
Melton Highway,HILLSIDE,ABC,Jul-2018,"Melton Highway, HILLSIDE",910,910.0,144.7417117,-37.6917516,"Melton Hwy, Hillside VIC 3037, Australia",2018-August-06
Melton Highway,PLUMPTON,ABC,Jul-2018,"Melton Highway, PLUMPTON",911,911.0,144.6950771,-37.6868603,"Melton Hwy, Plumpton VIC 3335, Australia",2018-August-06
Melton Highway,SYDENHAM,C,Jul-2018,"Melton Highway, SYDENHAM",912,912.0,144.7687639,-37.6950755,"Melton Hwy, Sydenham VIC 3037, Australia",2018-August-06
Melton Highway,TAYLORS LAKES,C,Jul-2018,"Melton Highway, TAYLORS LAKES",913,913.0,144.7831694,-37.6978756,"Melton Hwy, Taylors Lakes VIC 3038, Australia",2018-August-06
Melville Road,PASCOE VALE SOUTH,C,Dec-2017,"Melville Road, PASCOE VALE SOUTH",914,914.0,144.9444423,-37.7465371,"Melville Rd, Pascoe Vale South VIC 3044, Australia",2018-August-06
Memorial Drive,PLENTY,B,Jul-2018,"Memorial Drive, PLENTY",915,915.0,145.1099762,-37.6684764,"Memorial Dr, Plenty VIC 3090, Australia",2018-August-06
Menadue Street,HORSHAM,BC,Jul-2018,"Menadue Street, HORSHAM",916,916.0,142.2136652,-36.7151523,"Menadue St, Horsham VIC 3400, Australia",2018-August-06
Merriang Road,BEVERIDGE,ABC,Apr-2018,"Merriang Road, BEVERIDGE",917,917.0,145.024027,-37.482039,"Merriang Rd, Beveridge VIC 3753, Australia",2018-August-06
Merton-Euroa Road,MERTON,AC,Apr-2018,"Merton-Euroa Road, MERTON",918,918.0,145.6921896,-36.9528042,"Merton-Euroa Rd, Merton VIC 3715, Australia",2018-August-06
Metropolitan Ring Road,WATSONIA NORTH,ABC,Apr-2018,"Metropolitan Ring Road, WATSONIA NORTH",919,919.0,145.0869642,-37.690531,"Metropolitan Ring Rd, Watsonia North VIC 3087, Australia",2018-August-06
Metung Road,SWAN REACH,AC,Apr-2018,"Metung Road, SWAN REACH",920,920.0,147.8564834,-37.8422791,"Metung Rd, Swan Reach VIC 3903, Australia",2018-August-06
Mickleham Road,ATTWOOD,ABC,Dec-2017,"Mickleham Road, ATTWOOD",921,921.0,144.8851759,-37.6668221,"Mickleham Rd, Attwood VIC 3049, Australia",2018-August-06
Mickleham Road,GREENVALE,AC,Dec-2017,"Mickleham Road, GREENVALE",922,922.0,144.8816087,-37.6349114,"Mickleham Rd, Greenvale VIC 3059, Australia",2018-August-06
Mickleham Road,MICKLEHAM,AC,Dec-2017,"Mickleham Road, MICKLEHAM",923,923.0,144.8766867,-37.5619765,"Mickleham Rd, Mickleham VIC 3064, Australia",2018-August-06
Mickleham Road,TULLAMARINE,ABC,Dec-2017,"Mickleham Road, TULLAMARINE",924,924.0,144.8846157,-37.692721,"Mickleham Rd, Tullamarine VIC 3043, Australia",2018-August-06
Mickleham Road,WESTMEADOWS,ABC,Dec-2017,"Mickleham Road, WESTMEADOWS",925,925.0,144.8843576,-37.67645,"Mickleham Rd, Westmeadows VIC 3049, Australia",2018-August-06
Mickleham Road,YUROKE,AC,Dec-2017,"Mickleham Road, YUROKE",926,926.0,144.8768089,-37.5820994,"Mickleham Rd, Yuroke VIC 3063, Australia",2018-August-06
Middleborough Road,BLACKBURN SOUTH,C,May-2018,"Middleborough Road, BLACKBURN SOUTH",927,927.0,145.1346858,-37.8393288,"Middleborough Rd, Blackburn South VIC 3130, Australia",2018-August-06
Midland Highway,BAGSHOT,C,May-2018,"Midland Highway, BAGSHOT",928,928.0,144.3933685,-36.6529848,"Midland Hwy, Bagshot VIC 3551, Australia",2018-August-06
Midland Highway,BANNOCKBURN,C,Apr-2018,"Midland Highway, BANNOCKBURN",929,929.0,144.1782988,-38.0312638,"Midland Hwy, Bannockburn VIC 3331, Australia",2018-August-06
Midland Highway,BARJARG,C,Apr-2018,"Midland Highway, BARJARG",930,930.0,146.0015584,-36.920231,"Midland Hwy, Barjarg VIC 3723, Australia",2018-August-06
Midland Highway,BARKERS CREEK,C,May-2018,"Midland Highway, BARKERS CREEK",931,931.0,144.2378688,-37.0226398,"Midland Hwy, Barkers Creek VIC 3451, Australia",2018-August-06
Midland Highway,BATESFORD,AC,Apr-2018,"Midland Highway, BATESFORD",932,932.0,144.2873837,-38.0918644,"Midland Hwy, Batesford VIC 3213, Australia",2018-August-06
Midland Highway,BENALLA,ABC,Apr-2018,"Midland Highway, BENALLA",933,933.0,145.9548838,-36.5828302,"Midland Hwy, Benalla VIC 3672, Australia",2018-August-06
Midland Highway,BLAMPIED,C,Apr-2018,"Midland Highway, BLAMPIED",934,934.0,144.0356868,-37.3704382,"Midland Hwy, Blampied VIC 3364, Australia",2018-August-06
Midland Highway,BYRNESIDE,C,Apr-2018,"Midland Highway, BYRNESIDE",935,935.0,145.1561184,-36.4233848999999,"Midland Hwy, Byrneside VIC 3617, Australia",2018-August-06
Midland Highway,CAMPBELLS CREEK,C,May-2018,"Midland Highway, CAMPBELLS CREEK",936,936.0,144.2012214,-37.0967921,"Midland Hwy, Campbells Creek VIC 3451, Australia",2018-August-06
Midland Highway,CLARENDON,C,Apr-2018,"Midland Highway, CLARENDON",937,937.0,143.9747143,-37.6959717,"Midland Hwy, Clarendon VIC 3352, Australia",2018-August-06
Midland Highway,ELAINE,ABC,Apr-2018,"Midland Highway, ELAINE",938,938.0,144.2501741,-37.0034273,"Midland Hwy, Victoria, Australia",2018-August-06
Midland Highway,GHERINGHAP,BC,Apr-2018,"Midland Highway, GHERINGHAP",939,939.0,144.2220675,-38.0669604,"Midland Hwy, Gheringhap VIC 3331, Australia",2018-August-06
Midland Highway,LIMA,AC,Apr-2018,"Midland Highway, LIMA",940,940.0,146.0085463,-36.8025483,"3028 Midland Hwy, Lima South VIC 3673, Australia",2018-August-06
Midland Highway,MAGPIE,BC,Jul-2018,"Midland Highway, MAGPIE",941,941.0,143.8390501,-37.6317531,"Midland Hwy, Magpie VIC 3352, Australia",2018-August-06
Midland Highway,MANSFIELD,AC,Apr-2018,"Midland Highway, MANSFIELD",942,942.0,146.0532586,-36.9938441,"Midland Hwy, Mansfield VIC 3722, Australia",2018-August-06
Midland Highway,MOOROOPNA,C,Apr-2018,"Midland Highway, MOOROOPNA",943,943.0,145.349256,-36.3960749,"Midland Hwy, Mooroopna VIC 3629, Australia",2018-August-06
Midland Highway,MOUNT FRANKLIN,C,Apr-2018,"Midland Highway, MOUNT FRANKLIN",944,944.0,144.1382505,-37.2583153,"Midland Hwy, Mount Franklin VIC 3461, Australia",2018-August-06
Midland Highway,MOUNT PROSPECT,C,Jul-2018,"Midland Highway, MOUNT PROSPECT",945,945.0,144.2501741,-37.0034273,"Midland Hwy, Victoria, Australia",2018-August-06
Midland Highway,MOUNT ROWAN,C,Jul-2018,"Midland Highway, MOUNT ROWAN",946,946.0,143.8462607,-37.4993339,"Midland Hwy, Mount Rowan VIC 3352, Australia",2018-August-06
Midland Highway,NALINGA,AC,Apr-2018,"Midland Highway, NALINGA",947,947.0,145.7242249,-36.4219263,"Midland Hwy, Nalinga VIC 3646, Australia",2018-August-06
Midland Highway,NEWLYN,B,Apr-2018,"Midland Highway, NEWLYN",948,948.0,143.9753161,-37.4103432,"Midland Hwy, Newlyn VIC 3364, Australia",2018-August-06
Midland Highway,PINE LODGE SOUTH,BC,Apr-2018,"Midland Highway, PINE LODGE SOUTH",949,949.0,145.5280026,-36.4150877,"Midland Hwy & Pine Lodge S Rd, Pine Lodge VIC 3631, Australia",2018-August-06
Midland Highway,SHEPPARTON EAST,BC,Apr-2018,"Midland Highway, SHEPPARTON EAST",950,950.0,145.4810386,-36.4020742,"Midland Hwy, Shepparton East VIC 3631, Australia",2018-August-06
Midland Highway,STEWARTON,C,Apr-2018,"Midland Highway, STEWARTON",951,951.0,145.8022963,-36.4398886,"Midland Hwy, Stewarton VIC 3725, Australia",2018-August-06
Midland Highway,SWANPOOL,AC,Apr-2018,"Midland Highway, SWANPOOL",952,952.0,145.9949685,-36.726922,"Midland Hwy, Swanpool VIC 3673, Australia",2018-August-06
Midland Highway,TATURA,C,Apr-2018,"Midland Highway, TATURA",953,953.0,145.204792,-36.416639,"Midland Hwy, Tatura VIC 3616, Australia",2018-August-06
Midland Link Highway,MAINDAMPLE,ABC,Apr-2018,"Midland Link Highway, MAINDAMPLE",954,954.0,145.9795501,-36.9929175,"Midland Link Hwy, Maindample VIC 3723, Australia",2018-August-06
Military Road,AVONDALE HEIGHTS,BC,Dec-2017,"Military Road, AVONDALE HEIGHTS",955,955.0,144.8619827,-37.7621619,"Military Rd, Avondale Heights VIC 3034, Australia",2018-August-06
Mill Park Drive,MILL PARK,C,Apr-2018,"Mill Park Drive, MILL PARK",956,956.0,145.0613537,-37.6735647,"Mill Park Dr, Mill Park VIC 3082, Australia",2018-August-06
Milleara Road,KEILOR EAST,C,Dec-2017,"Milleara Road, KEILOR EAST",957,957.0,144.8635709,-37.7412231,"Milleara Rd, Keilor East VIC 3033, Australia",2018-August-06
Miller Street,EPPING,AC,Apr-2018,"Miller Street, EPPING",958,958.0,145.0204963,-37.6443893,"Miller St, Epping VIC 3076, Australia",2018-August-06
Millers Road,ALTONA,C,Feb-2018,"Millers Road, ALTONA",959,959.0,144.8430601,-37.8581225,"Millers Rd, Altona VIC 3018, Australia",2018-August-06
Millers Road,ALTONA NORTH,C,Feb-2018,"Millers Road, ALTONA NORTH",960,960.0,144.8471774,-37.8379018,"Millers Rd, Altona North VIC 3025, Australia",2018-August-06
Millewa Road,KOORLONG,C,Jun-2018,"Millewa Road, KOORLONG",961,961.0,142.0520449,-34.3478371,"Millewa Rd, Koorlong VIC 3501, Australia",2018-August-06
Millewa Road,RED CLIFFS,C,Jun-2018,"Millewa Road, RED CLIFFS",962,962.0,142.1488882,-34.3313218,"Millewa Rd, Red Cliffs VIC 3496, Australia",2018-August-06
Mitcham Road,MITCHAM,C,May-2018,"Mitcham Road, MITCHAM",963,963.0,145.1936967,-37.8166815,"Mitcham Rd, Mitcham VIC 3132, Australia",2018-August-06
Mitchell Street,MAIDSTONE,C,Feb-2018,"Mitchell Street, MAIDSTONE",964,964.0,144.8755045,-37.782199,"Mitchell St, Maidstone VIC 3012, Australia",2018-August-06
Moe-Glengarry Road,TYERS,ABC,Apr-2018,"Moe-Glengarry Road, TYERS",965,965.0,146.4828097,-38.1490772,"Tyers VIC 3844, Australia",2018-August-06
Moe-Glengarry Road,YALLOURN NORTH,AC,Apr-2018,"Moe-Glengarry Road, YALLOURN NORTH",966,966.0,146.267778,-38.172222,"Moe VIC 3825, Australia",2018-August-06
Moe-Rawson Road,MOONDARRA,AC,Apr-2018,"Moe-Rawson Road, MOONDARRA",967,967.0,146.2676429,-38.178901,"Moondarra St, Moe VIC 3825, Australia",2018-August-06
Moe-Willow Grove Road,WILLOW GROVE,AC,Apr-2018,"Moe-Willow Grove Road, WILLOW GROVE",968,968.0,146.1995224,-38.0861288,"Moe-Willow Grove Rd, Willow Grove VIC 3825, Australia",2018-August-06
Monaro Highway,NOORINBEE,ABC,Apr-2018,"Monaro Highway, NOORINBEE",969,969.0,149.1773157,-37.5037341,"Monaro Hwy, Noorinbee VIC 3890, Australia",2018-August-06
Monash Road,NEWBOROUGH,ABC,Apr-2018,"Monash Road, NEWBOROUGH",970,970.0,146.3012453,-38.1801353,"Monash Rd, Newborough VIC 3825, Australia",2018-August-06
Monash Street,SUNSHINE,ABC,Jul-2018,"Monash Street, SUNSHINE",971,971.0,144.8400342,-37.7894681,"Monash St, Sunshine VIC 3020, Australia",2018-August-06
Monash Way,CHURCHILL,ABC,Apr-2018,"Monash Way, CHURCHILL",972,972.0,146.3498907,-38.3314619,"Monash Way, Victoria, Australia",2018-August-06
Monbulk Road,MOUNT EVELYN,ABC,Mar-2018,"Monbulk Road, MOUNT EVELYN",973,973.0,145.3934169,-37.7981038,"Monbulk Rd, Mount Evelyn VIC 3796, Australia",2018-August-06
Monbulk Road,SILVAN,ABC,Mar-2018,"Monbulk Road, SILVAN",974,974.0,145.4167364,-37.823581,"Monbulk Rd, Silvan VIC 3795, Australia",2018-August-06
Moore Street,MOE,ABC,Apr-2018,"Moore Street, MOE",975,975.0,146.2624044,-38.1689444999999,"Moore St, Moe VIC 3825, Australia",2018-August-06
Moore Street,WARRNAMBOOL,C,Apr-2018,"Moore Street, WARRNAMBOOL",976,976.0,142.5039966,-38.3748522,"Moore St, Warrnambool VIC 3280, Australia",2018-August-06
Moorooduc Highway,BAXTER,BC,May-2018,"Moorooduc Highway, BAXTER",977,977.0,145.1111593,-38.2099259,"Moorooduc Hwy, Victoria, Australia",2018-August-06
Moorooduc Highway,FRANKSTON SOUTH,C,May-2018,"Moorooduc Highway, FRANKSTON SOUTH",978,978.0,145.1385995,-38.1768473,"Moorooduc Hwy, Frankston South VIC 3199, Australia",2018-August-06
Moorooduc Highway,MOOROODUC,C,May-2018,"Moorooduc Highway, MOOROODUC",979,979.0,145.0906527,-38.2331713,"Moorooduc Hwy, Moorooduc VIC 3933, Australia",2018-August-06
Mooroopna-Murchison Road,MURCHISON,BC,Apr-2018,"Mooroopna-Murchison Road, MURCHISON",980,980.0,145.35,-36.383333,"Mooroopna VIC 3629, Australia",2018-August-06
Mooroopna-Murchison Road,OLD TOOLAMBA,BC,Apr-2018,"Mooroopna-Murchison Road, OLD TOOLAMBA",981,981.0,145.35,-36.383333,"Mooroopna VIC 3629, Australia",2018-August-06
Morang Drive,MILL PARK,C,Apr-2018,"Morang Drive, MILL PARK",982,982.0,145.0589785,-37.6563265,"Morang Dr, Mill Park VIC 3082, Australia",2018-August-06
Moreland Road,BRUNSWICK,C,Dec-2017,"Moreland Road, BRUNSWICK",983,983.0,144.9641203,-37.755438,"Moreland Rd, Brunswick VIC 3056, Australia",2018-August-06
Mornington Peninsula Freeway,BANGHOLME,C,Apr-2018,"Mornington Peninsula Freeway, BANGHOLME",984,984.0,145.066276,-38.272258,"Mornington Peninsula Fwy, Victoria, Australia",2018-August-06
Mornington Peninsula Freeway,CHELSEA HEIGHTS,C,Jun-2018,"Mornington Peninsula Freeway, CHELSEA HEIGHTS",985,985.0,145.066276,-38.272258,"Mornington Peninsula Fwy, Victoria, Australia",2018-August-06
Mornington Peninsula Freeway,DROMANA,C,May-2018,"Mornington Peninsula Freeway, DROMANA",986,986.0,144.9863787,-38.3295339,"Mornington Peninsula Fwy, Dromana VIC 3936, Australia",2018-August-06
Mornington Peninsula Freeway,MCCRAE,C,May-2018,"Mornington Peninsula Freeway, MCCRAE",987,987.0,144.929089,-38.3549962,"Mornington Peninsula Fwy, McCrae VIC 3938, Australia",2018-August-06
Mornington Peninsula Freeway,PATTERSON LAKES,C,Jun-2018,"Mornington Peninsula Freeway, PATTERSON LAKES",988,988.0,145.066276,-38.272258,"Mornington Peninsula Fwy, Victoria, Australia",2018-August-06
