LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,index,longitude,latitude,corrected address,extracted_on
Hawthorn Road,CAULFIELD SOUTH,B,Jun-2018,"Hawthorn Road, CAULFIELD SOUTH",610,610.0,145.0205184,-37.8945573,"Hawthorn Rd, Caulfield South VIC 3162, Australia",2018-August-06
Hazel Glen Drive,MERNDA,C,Apr-2018,"Hazel Glen Drive, MERNDA",611,611.0,145.1111951,-37.5878287,"Hazel Glen Dr, Doreen VIC 3754, Australia",2018-August-06
Hazelwood Road,BORONIA,ABC,Jan-2018,"Hazelwood Road, BORONIA",612,612.0,145.2811634,-37.8691295,"Hazelwood Rd, Boronia VIC 3155, Australia",2018-August-06
Heads Road,DONVALE,C,May-2018,"Heads Road, DONVALE",613,613.0,145.202546,-37.7963751,"Heads Rd, Donvale VIC 3111, Australia",2018-August-06
Healesville-Koo Wee Rup Road,HEALESVILLE,ABC,Mar-2018,"Healesville-Koo Wee Rup Road, HEALESVILLE",614,614.0,145.5219417,-37.7063914,"Healesville - Koo Wee Rup Rd, Healesville VIC 3777, Australia",2018-August-06
Healesville-Koo Wee Rup Road,WOORI YALLOCK,ABC,Mar-2018,"Healesville-Koo Wee Rup Road, WOORI YALLOCK",615,615.0,145.5249285,-37.7850861,"Healesville - Koo Wee Rup Rd, Woori Yallock VIC 3139, Australia",2018-August-06
Healesville-Koo Wee Rup Road,YELLINGBO,ABC,Mar-2018,"Healesville-Koo Wee Rup Road, YELLINGBO",616,616.0,145.5157195,-37.83253,"Healesville - Koo Wee Rup Rd, Yellingbo VIC 3139, Australia",2018-August-06
Heathcote-Kyneton Road,LANGLEY,AC,Apr-2018,"Heathcote-Kyneton Road, LANGLEY",617,617.0,144.5025475,-37.154253,"Heathcote-Kyneton Rd, Langley VIC 3444, Australia",2018-August-06
Heathcote-Nagambie Road,GRAYTOWN,C,Apr-2018,"Heathcote-Nagambie Road, GRAYTOWN",618,618.0,144.937488,-36.8304402,"Heathcote-Nagambie Rd, Graytown VIC 3608, Australia",2018-August-06
Heatherdale Road,MITCHAM,C,May-2018,"Heatherdale Road, MITCHAM",619,619.0,145.2133543,-37.8236863,"Heatherdale Rd, Mitcham VIC 3132, Australia",2018-August-06
Heatherton Road,CLAYTON SOUTH,AC,Jun-2018,"Heatherton Road, CLAYTON SOUTH",620,620.0,145.1274806,-37.9593808,"Heatherton Rd, Clayton South VIC 3169, Australia",2018-August-06
Heatherton Road,DANDENONG,C,Apr-2018,"Heatherton Road, DANDENONG",621,621.0,145.2151859,-37.970053,"Heatherton Rd, Dandenong VIC 3175, Australia",2018-August-06
Heatherton Road,ENDEAVOUR HILLS,BC,Jul-2018,"Heatherton Road, ENDEAVOUR HILLS",622,622.0,145.2561046,-37.9746165,"Heatherton Rd, Endeavour Hills VIC 3802, Australia",2018-August-06
Heaths Road,HOPPERS CROSSING,C,Feb-2018,"Heaths Road, HOPPERS CROSSING",623,623.0,144.6845934,-37.877653,"Heaths Rd, Hoppers Crossing VIC 3029, Australia",2018-August-06
Heaths Road,WERRIBEE,C,Feb-2018,"Heaths Road, WERRIBEE",624,624.0,144.6692501,-37.8761239,"Heaths Rd, Victoria, Australia",2018-August-06
Hedderwick Street,ESSENDON,C,Dec-2017,"Hedderwick Street, ESSENDON",625,625.0,144.900565,-37.7483494,"Hedderwick St, Essendon VIC 3040, Australia",2018-August-06
Heidelberg Road,CLIFTON HILL,C,Jun-2018,"Heidelberg Road, CLIFTON HILL",626,626.0,145.0009092,-37.7853717,"Heidelberg Rd, Clifton Hill VIC 3068, Australia",2018-August-06
Heidelberg-Kinglake Road,COTTLES BRIDGE (NHB),ABCD,Jul-2018,"Heidelberg-Kinglake Road, COTTLES BRIDGE (NHB)",627,627.0,145.2239086,-37.6184428,"Heidelberg-Kinglake Rd, Cottles Bridge VIC 3099, Australia",2018-August-06
Heidelberg-Kinglake Road,HURSTBRIDGE,C,Apr-2018,"Heidelberg-Kinglake Road, HURSTBRIDGE",628,628.0,145.2047364,-37.6336722,"Heidelberg-Kinglake Rd, Hurstbridge VIC 3099, Australia",2018-August-06
Heidelberg-Kinglake Road,ST ANDREWS,ABC,Apr-2018,"Heidelberg-Kinglake Road, ST ANDREWS",629,629.0,145.2530983,-37.6067369,"Heidelberg-Kinglake Rd, St Andrews VIC 3761, Australia",2018-August-06
Heidelberg-Kinglake Road,WATTLE GLEN,AC,Apr-2018,"Heidelberg-Kinglake Road, WATTLE GLEN",630,630.0,145.186449,-37.6580705999999,"Heidelberg-Kinglake Rd, Wattle Glen VIC 3096, Australia",2018-August-06
Heidelberg-Warrandyte Road,WARRANDYTE,C,May-2018,"Heidelberg-Warrandyte Road, WARRANDYTE",631,631.0,145.1925592,-37.7490616,"Heidelberg-Warrandyte Rd, Warrandyte VIC 3113, Australia",2018-August-06
Heinz Lane,INVERMAY PARK,BC,Jul-2018,"Heinz Lane, INVERMAY PARK",632,632.0,143.8538243,-37.5281771,"Heinz Ln, Invermay Park VIC 3350, Australia",2018-August-06
Hendy Main Road,MORIAC,ABC,Apr-2018,"Hendy Main Road, MORIAC",633,633.0,144.1741575,-38.2474213,"Hendy Main Rd, Moriac VIC 3240, Australia",2018-August-06
Henry Road,PAKENHAM,BC,May-2018,"Henry Road, PAKENHAM",634,634.0,145.4501342,-38.080767,"Henry Rd, Pakenham VIC 3810, Australia",2018-August-06
Hensley Park Road,HAMILTON,C,May-2018,"Hensley Park Road, HAMILTON",635,635.0,142.0441343,-37.6889283,"Hensley Park Rd, Hamilton VIC 3300, Australia",2018-August-06
Henty Highway,BRANXHOLME,ABC,May-2018,"Henty Highway, BRANXHOLME",636,636.0,141.8416929,-37.8389101,"Henty Hwy, Branxholme VIC 3302, Australia",2018-August-06
Henty Highway,BRIMPAEN,C,Jul-2018,"Henty Highway, BRIMPAEN",637,637.0,142.1919801,-37.0630908,"Henty Hwy, Brimpaen VIC 3401, Australia",2018-August-06
Henty Highway,BYRNEVILLE,C,Jul-2018,"Henty Highway, BYRNEVILLE",638,638.0,142.1511418,-36.9595557,"Henty Hwy, Victoria, Australia",2018-August-06
Henty Highway,HAMILTON,ABC,May-2018,"Henty Highway, HAMILTON",639,639.0,142.1511418,-36.9595557,"Henty Hwy, Victoria, Australia",2018-August-06
Henty Highway,HAVEN,C,Jul-2018,"Henty Highway, HAVEN",640,640.0,142.1511418,-36.9595557,"Henty Hwy, Victoria, Australia",2018-August-06
Henty Highway,KEWELL NORTH,C,Jul-2018,"Henty Highway, KEWELL NORTH",641,641.0,142.1511418,-36.9595557,"Henty Hwy, Victoria, Australia",2018-August-06
Henty Highway,MOORALLA,C,May-2018,"Henty Highway, MOORALLA",642,642.0,142.1590261,-37.3806016,"Henty Hwy, Mooralla VIC 3314, Australia",2018-August-06
Henty Highway,MYAMYN,C,May-2018,"Henty Highway, MYAMYN",643,643.0,141.7101466,-38.0084062,"Henty Hwy, Myamyn VIC 3304, Australia",2018-August-06
Henty Highway,RIVERSIDE,C,Jul-2018,"Henty Highway, RIVERSIDE",644,644.0,142.1511418,-36.9595557,"Henty Hwy, Victoria, Australia",2018-August-06
Henty Highway,WONWONDAH NORTH,C,Jul-2018,"Henty Highway, WONWONDAH NORTH",645,645.0,142.1375812,-36.8771137,"Henty Hwy & N E Wonwondah Rd, Wonwondah VIC 3401, Australia",2018-August-06
