ROW_INDEX,LOCATION,SUBURB,Reason Code,Audit Date,full_location
290,Church Street,GROVEDALE,BC,Apr-2018,"Church Street, GROVEDALE, VICTORIA, AUSTRALIA"
291,Churchill-Traralgon Road,TRARALGON,AC,Apr-2018,"Churchill-Traralgon Road, TRARALGON, VICTORIA, AUSTRALIA"
292,Cimberwood Drive,CRAIGIEBURN,C,Dec-2017,"Cimberwood Drive, CRAIGIEBURN, VICTORIA, AUSTRALIA"
293,Civic Parade,ALTONA,C,Jan-2018,"Civic Parade, ALTONA, VICTORIA, AUSTRALIA"
294,Clarinda Road,CLARINDA,AC,Jun-2018,"Clarinda Road, CLARINDA, VICTORIA, AUSTRALIA"
295,Clarke Road,SPRINGVALE SOUTH,C,Apr-2018,"Clarke Road, SPRINGVALE SOUTH, VICTORIA, AUSTRALIA"
296,Clarkes Road,BROOKFIELD,BC,Apr-2018,"Clarkes Road, BROOKFIELD, VICTORIA, AUSTRALIA"
297,Clayton Road,CLAYTON,C,May-2018,"Clayton Road, CLAYTON, VICTORIA, AUSTRALIA"
298,Clifton Springs Road,CLIFTON SPRINGS,BC,Apr-2018,"Clifton Springs Road, CLIFTON SPRINGS, VICTORIA, AUSTRALIA"
299,Clyde Road,BERWICK,BC,Jul-2018,"Clyde Road, BERWICK, VICTORIA, AUSTRALIA"
300,Clyde-Five Ways Road,CLYDE,BC,Jul-2018,"Clyde-Five Ways Road, CLYDE, VICTORIA, AUSTRALIA"
301,Cobden-Warrnambool Road,GLENFYNE,ABC,Apr-2018,"Cobden-Warrnambool Road, GLENFYNE, VICTORIA, AUSTRALIA"
302,Cohuna Island Road,COHUNA,C,Apr-2018,"Cohuna Island Road, COHUNA, VICTORIA, AUSTRALIA"
303,Cohuna-Koondrook Road,GANNAWARRA,C,Apr-2018,"Cohuna-Koondrook Road, GANNAWARRA, VICTORIA, AUSTRALIA"
304,Cohuna-Koondrook Road,KOONDROOK,C,Apr-2018,"Cohuna-Koondrook Road, KOONDROOK, VICTORIA, AUSTRALIA"
305,Cohuna-Leitchville Road,LEITCHVILLE,BC,Apr-2018,"Cohuna-Leitchville Road, LEITCHVILLE, VICTORIA, AUSTRALIA"
306,Colac Forrest  Road,YEODENE,AC,Jun-2018,"Colac Forrest  Road, YEODENE, VICTORIA, AUSTRALIA"
307,Colac-Ballarat  Road,WEERING,BC,Jun-2018,"Colac-Ballarat  Road, WEERING, VICTORIA, AUSTRALIA"
308,Colac-Ballarat Road,BEEAC,BC,Apr-2018,"Colac-Ballarat Road, BEEAC, VICTORIA, AUSTRALIA"
309,Colac-Ballarat Road,ROKEWOOD,BC,Apr-2018,"Colac-Ballarat Road, ROKEWOOD, VICTORIA, AUSTRALIA"
310,Colac-Lavers Hill Road,BARONGAROOK,C,Apr-2018,"Colac-Lavers Hill Road, BARONGAROOK, VICTORIA, AUSTRALIA"
311,Colchester Road,KILSYTH SOUTH,AC,Jan-2018,"Colchester Road, KILSYTH SOUTH, VICTORIA, AUSTRALIA"
