LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,longitude,latitude,corrected address,extracted_on,inside_victoria_bounds
Saltwater Promenade,POINT COOK,BC,Feb-18,"Saltwater Promenade, POINT COOK",1330,144.7685356,-37.9117833,"Saltwater Promenade, Point Cook VIC 3030, Australia",2018-August-06,TRUE
Samaria Road,BENALLA,C,Apr-18,"Samaria Road, BENALLA",1331,145.9947213,-36.5601889,"Samaria Rd, Benalla VIC 3672, Australia",2018-August-06,TRUE
Sanders Road,HAZELWOOD NORTH,BC,Apr-18,"Sanders Road, HAZELWOOD NORTH",1332,146.5118665,-38.2444473,"Sanders Rd, Hazelwood North VIC 3840, Australia",2018-August-06,TRUE
Sandilong Avenue,IRYMPLE,BC,Jun-18,"Sandilong Avenue, IRYMPLE",1333,142.1640693,-34.2247115,"Sandilong Ave, Irymple VIC 3498, Australia",2018-August-06,TRUE
Sandpiper Drive,TAYLORS LAKES,BC,Jul-18,"Sandpiper Drive, TAYLORS LAKES",1334,144.7889857,-37.6955773,"Sandpiper Dr, Taylors Lakes VIC 3038, Australia",2018-August-06,TRUE
Saxonwood Drive,NARRE WARREN,BC,Jul-18,"Saxonwood Drive, NARRE WARREN",1335,145.3103069,-38.0321387,"Saxonwood Dr, Narre Warren VIC 3805, Australia",2018-August-06,TRUE
Sayers Road,HOPPERS CROSSING,C,Apr-18,"Sayers Road, HOPPERS CROSSING",1336,144.701574,-37.8499364,"Sayers Rd, Hoppers Crossing VIC 3029, Australia",2018-August-06,TRUE
Sea Lake-Swan Hill Road,SWAN HILL,C,Apr-18,"Sea Lake-Swan Hill Road, SWAN HILL",1337,143.4967954,-35.3546859,"Sea Lake-Swan Hill Rd, Swan Hill VIC 3585, Australia",2018-August-06,TRUE
Seaford Road,SEAFORD,C,May-18,"Seaford Road, SEAFORD",1338,145.1415088,-38.1092354,"Seaford Rd, Seaford VIC 3198, Australia",2018-August-06,TRUE
Seaspray Road,LONGFORD,C,Apr-18,"Seaspray Road, LONGFORD",1339,147.1335601,-38.2512313,"Seaspray Rd, Longford VIC 3851, Australia",2018-August-06,TRUE
Seaspray Road,SEASPRAY,C,Apr-18,"Seaspray Road, SEASPRAY",1340,147.1618415,-38.3270355,"Seaspray Rd, Seaspray VIC 3851, Australia",2018-August-06,TRUE
Sebastopol-Smythesdale Road,ROSS CREEK,BC,Apr-18,"Sebastopol-Smythesdale Road, ROSS CREEK",1341,143.7673321,-37.6285079,"Sebastopol-Smythesdale Rd, Ross Creek VIC 3351, Australia",2018-August-06,TRUE
Sedgwick Road,MANDURANG (WBI),ACD,Jun-18,"Sedgwick Road, MANDURANG (WBI)",1342,144.3069772,-36.8386801,"Sedgwick Rd, Sedgwick VIC 3551, Australia",2018-August-06,TRUE
Selkirk Road,WOODSTOCK,AC,Apr-18,"Selkirk Road, WOODSTOCK",1343,145.0693613,-37.5380831,"Selkirk Rd, Woodstock VIC 3751, Australia",2018-August-06,TRUE
Separation Street,FAIRFIELD,AC,Apr-18,"Separation Street, FAIRFIELD",1344,145.0138748,-37.7711086,"Separation St, Fairfield VIC 3078, Australia",2018-August-06,TRUE
Serpells Road,TEMPLESTOWE,BC,May-18,"Serpells Road, TEMPLESTOWE",1345,145.1526952,-37.7668475,"Serpells Rd, Templestowe VIC 3106, Australia",2018-August-06,TRUE
Service Street,CLUNES,C,Apr-18,"Service Street, CLUNES",1346,143.7834454,-37.299273,"Service St, Clunes VIC 3370, Australia",2018-August-06,TRUE
Settlement Road,COWES,C,Apr-18,"Settlement Road, COWES",1347,145.2333333,-38.4561263,"Settlement Rd, Cowes VIC 3922, Australia",2018-August-06,TRUE
Seventh Street,MILDURA,C,Jun-18,"Seventh Street, MILDURA",1348,142.1632294,-34.1826805,"Seventh St, Mildura VIC 3500, Australia",2018-August-06,TRUE
Seymour-Avenel Road,SEYMOUR,C,Apr-18,"Seymour-Avenel Road, SEYMOUR",1349,145.1585278,-36.9888516,"Seymour-Avenel Rd, Seymour VIC 3660, Australia",2018-August-06,TRUE
Seymour-Pyalong Road,SEYMOUR,C,Apr-18,"Seymour-Pyalong Road, SEYMOUR",1350,144.9749574,-37.0956043,"Seymour-Pyalong Rd, Victoria, Australia",2018-August-06,TRUE
Seymour-Tooborac Road,SEYMOUR,C,Apr-18,"Seymour-Tooborac Road, SEYMOUR",1351,145.1021967,-37.0318864,"Seymour-Tooborac Rd, Seymour VIC 3660, Australia",2018-August-06,TRUE
Shakespeare Street,HAMILTON,C,May-18,"Shakespeare Street, HAMILTON",1352,142.0215381,-37.7350125,"Shakespeare St, Hamilton VIC 3300, Australia",2018-August-06,TRUE
Shanahan Parade,NEWBOROUGH,AC,Apr-18,"Shanahan Parade, NEWBOROUGH",1353,146.2896637,-38.1917475,"Shanahan Parade, Newborough VIC 3825, Australia",2018-August-06,TRUE
Shaws Road,WERRIBEE,C,Feb-18,"Shaws Road, WERRIBEE",1354,144.6585307,-37.8896588,"Shaws Rd, Werribee VIC 3030, Australia",2018-August-06,TRUE
Shearwater Drive,PAKENHAM,BC,May-18,"Shearwater Drive, PAKENHAM",1355,145.4452766,-38.0683919,"Shearwater Dr, Pakenham VIC 3810, Australia",2018-August-06,TRUE
Sheepwash Road,BARWON HEADS,BC,Apr-18,"Sheepwash Road, BARWON HEADS",1356,144.4897566,-38.2677778,"Sheepwash Rd, Barwon Heads VIC 3227, Australia",2018-August-06,TRUE
Shelford-Bannockburn Road,TEESDALE,ABC,Apr-18,"Shelford-Bannockburn Road, TEESDALE",1357,144.0544402,-38.0287811,"Bannockburn-Shelford Rd, Teesdale VIC 3328, Australia",2018-August-06,TRUE
Shell Road,OCEAN GROVE,ABC,Apr-18,"Shell Road, OCEAN GROVE",1358,144.5567901,-38.2606344,"Shell Rd, Ocean Grove VIC 3226, Australia",2018-August-06,TRUE
Shell Road,POINT LONSDALE,ABC,Apr-18,"Shell Road, POINT LONSDALE",1359,144.5950267,-38.2650417,"Shell Rd, Point Lonsdale VIC 3225, Australia",2018-August-06,TRUE
Sherbourne Road,MONTMORENCY,C,Apr-18,"Sherbourne Road, MONTMORENCY",1360,145.129216,-37.7108494,"Sherbourne Rd, Montmorency VIC 3094, Australia",2018-August-06,TRUE
Shoreline Drive,SEASPRAY,C,Apr-18,"Shoreline Drive, SEASPRAY",1361,147.2049945,-38.3657691,"Shoreline Dr, Seaspray VIC 3851, Australia",2018-August-06,TRUE
Sixteenth Street,IRYMPLE,BC,Jun-18,"Sixteenth Street, IRYMPLE",1362,142.1470981,-34.2331526,"Sixteenth St, Irymple VIC 3498, Australia",2018-August-06,TRUE
Sixteenth Street,MILDURA SOUTH,AC,Jun-18,"Sixteenth Street, MILDURA SOUTH",1363,142.1470981,-34.2331526,"Sixteenth St, Victoria, Australia",2018-August-06,TRUE
Skene Street,WARRNAMBOOL,C,Apr-18,"Skene Street, WARRNAMBOOL",1364,142.4935329,-38.3826555,"Skene St, Warrnambool VIC 3280, Australia",2018-August-06,TRUE
Skye Road,FRANKSTON,ABC,May-18,"Skye Road, FRANKSTON",1365,145.1540352,-38.1361869,"Skye Rd, Frankston VIC 3199, Australia",2018-August-06,TRUE
Skyline Road,EILDON,B,Apr-18,"Skyline Road, EILDON",1366,145.8700165,-37.2238841,"Skyline Rd, Eildon VIC 3713, Australia",2018-August-06,TRUE
Sladen Street,CRANBOURNE,BC,Jul-18,"Sladen Street, CRANBOURNE",1367,145.2774418,-38.1124683,"Sladen St, Cranbourne VIC 3977, Australia",2018-August-06,TRUE
Sneydes Road,POINT COOK,BC,Apr-18,"Sneydes Road, POINT COOK",1368,144.728652,-37.897377,"Sneydes Rd, Point Cook VIC 3030, Australia",2018-August-06,TRUE
Sneydes Road,WERRIBEE,BC,Feb-18,"Sneydes Road, WERRIBEE",1369,144.6973673,-37.8974259,"Sneydes Rd, Werribee VIC 3030, Australia",2018-August-06,TRUE
Somerton Park Road,SALE,C,Apr-18,"Somerton Park Road, SALE",1370,147.0975534,-38.096877,"Somerton Park Rd, Sale VIC 3850, Australia",2018-August-06,TRUE
Somerton Road,BULLA,AC,Dec-17,"Somerton Road, BULLA",1371,144.8282339,-37.6286533,"Somerton Rd, Bulla VIC 3428, Australia",2018-August-06,TRUE
Somerton Road,GREENVALE,ABC,Dec-17,"Somerton Road, GREENVALE",1372,144.8739226,-37.6338571,"Somerton Rd, Greenvale VIC 3059, Australia",2018-August-06,TRUE
South Boundary Road,HAMILTON,BC,May-18,"South Boundary Road, HAMILTON",1373,142.0101689,-37.7577624,"S Boundary Rd, Hamilton VIC 3300, Australia",2018-August-06,TRUE
South Gippsland Highway,BENA,A,Apr-18,"South Gippsland Highway, BENA",1374,145.7611163,-38.4057887,"S Gippsland Hwy, Bena VIC 3946, Australia",2018-August-06,TRUE
South Gippsland Highway,FIVE WAYS,C,Jul-18,"South Gippsland Highway, FIVE WAYS",1375,145.3180601,-38.1602461,"2040 S Gippsland Hwy, Devon Meadows VIC 3977, Australia",2018-August-06,TRUE
South Gippsland Highway,FOSTER,AC,Apr-18,"South Gippsland Highway, FOSTER",1376,146.2004298,-38.6361875,"S Gippsland Hwy, Foster VIC 3960, Australia",2018-August-06,TRUE
South Gippsland Highway,HEDLEY,C,Apr-18,"South Gippsland Highway, HEDLEY",1377,145.9270771,-38.450956,"S Gippsland Hwy, Victoria, Australia",2018-August-06,TRUE
South Gippsland Highway,KORUMBURRA,AC,Nov-17,"South Gippsland Highway, KORUMBURRA",1378,145.8233746,-38.4315522,"S Gippsland Hwy, Korumburra VIC 3950, Australia",2018-August-06,TRUE
South Gippsland Highway,LANG LANG,AC,May-18,"South Gippsland Highway, LANG LANG",1379,145.5598194,-38.2976987,"S Gippsland Hwy, Lang Lang VIC 3984, Australia",2018-August-06,TRUE
South Gippsland Highway,LONGFORD,C,Apr-18,"South Gippsland Highway, LONGFORD",1380,147.0545963,-38.2379134,"S Gippsland Hwy, Longford VIC 3851, Australia",2018-August-06,TRUE
South Gippsland Highway,LYNBROOK,AC,Jul-18,"South Gippsland Highway, LYNBROOK",1381,145.2574061,-38.0504556,"S Gippsland Hwy, Lynbrook VIC 3975, Australia",2018-August-06,TRUE
South Gippsland Highway,RUBY,C,Jul-18,"South Gippsland Highway, RUBY",1382,145.9270771,-38.450956,"S Gippsland Hwy, Victoria, Australia",2018-August-06,TRUE
South Gippsland Highway,STRADBROKE,C,Apr-18,"South Gippsland Highway, STRADBROKE",1383,147.0359456,-38.2777184,"S Gippsland Hwy, Stradbroke VIC 3851, Australia",2018-August-06,TRUE
South Gippsland Highway,TOORADIN,BC,Jul-18,"South Gippsland Highway, TOORADIN",1384,145.3760571,-38.2080809,"S Gippsland Hwy, Tooradin VIC 3980, Australia",2018-August-06,TRUE
