LOCATION,SUBURB,Reason Code,Audit Date,full_location,row_index,longitude,latitude,corrected address,extracted_on,inside_victoria_bounds
Drysdale-Ocean Grove Road,WALLINGTON,BC,Apr-18,"Drysdale-Ocean Grove Road, WALLINGTON",382,144.5427612,-38.2210595,"Grubb Rd, Victoria, Australia",2018-August-06,TRUE
Duff Street,CRANBOURNE WEST,B,Jul-18,"Duff Street, CRANBOURNE WEST",383,145.2625786,-38.1029927,"Duff St, Cranbourne VIC 3977, Australia",2018-August-06,TRUE
Duke Street,SUNSHINE,C,Jul-18,"Duke Street, SUNSHINE",384,144.8460172,-37.7862213,"Duke St, Sunshine VIC 3020, Australia",2018-August-06,TRUE
Dunblane Road,NOBLE PARK,BC,Apr-18,"Dunblane Road, NOBLE PARK",385,145.1807652,-37.9610372,"Dunblane Rd, Noble Park VIC 3174, Australia",2018-August-06,TRUE
Duncan Drive,PAKENHAM,BC,May-18,"Duncan Drive, PAKENHAM",386,145.4682289,-38.0720736,"Duncan Dr, Pakenham VIC 3810, Australia",2018-August-06,TRUE
Duncans Road,WERRIBEE,C,Feb-18,"Duncans Road, WERRIBEE",387,144.6894568,-37.9162966,"Duncans Rd, Werribee VIC 3030, Australia",2018-August-06,TRUE
Dundas Street,RYE,C,May-18,"Dundas Street, RYE",388,144.8171586,-38.3907939,"Dundas St, Rye VIC 3941, Australia",2018-August-06,TRUE
Dunkeld-Cavendish Road,MOUTAJUP,AC,May-18,"Dunkeld-Cavendish Road, MOUTAJUP",389,142.2585036,-37.6320035,"Dunkeld-Cavendish Rd, Moutajup VIC 3294, Australia",2018-August-06,TRUE
Dunns Creek Road,DROMANA,ABC,May-18,"Dunns Creek Road, DROMANA",390,145.0386204,-38.3369737,"Dunns Creek Rd, Victoria, Australia",2018-August-06,TRUE
Dunns Creek Road,RED HILL,ABC,May-18,"Dunns Creek Road, RED HILL",391,145.0448141,-38.3425984,"Dunns Creek Rd, Red Hill VIC 3937, Australia",2018-August-06,TRUE
Dunns Road,MOUNT MARTHA,BC,May-18,"Dunns Road, MOUNT MARTHA",392,145.0436316,-38.2523344,"Dunns Rd, Mount Martha VIC 3934, Australia",2018-August-06,TRUE
Durham Road,KILSYTH,AC,Mar-18,"Durham Road, KILSYTH",393,145.3218262,-37.8013201,"Durham Rd, Kilsyth VIC 3137, Australia",2018-August-06,TRUE
East Boundary Road,BENTLEIGH EAST,C,Jan-18,"East Boundary Road, BENTLEIGH EAST",394,145.0589977,-37.9211453,"E Boundary Rd, Bentleigh East VIC 3165, Australia",2018-August-06,TRUE
East Esplanade,ST ALBANS,C,Jul-18,"East Esplanade, ST ALBANS",395,144.7962178,-37.7358726,"E Esplanade, St Albans VIC 3021, Australia",2018-August-06,TRUE
East Street,HADFIELD,BC,Dec-17,"East Street, HADFIELD",396,144.9503431,-37.7094874,"East St, Hadfield VIC 3046, Australia",2018-August-06,TRUE
Echuca-Kyabram Road,ECHUCA,BC,Apr-18,"Echuca-Kyabram Road, ECHUCA",397,145.0468064,-36.3139409,"Kyabram VIC 3620, Australia",2018-August-06,TRUE
Echuca-Mooroopna Road,MOOROOPNA NORTH,BC,Apr-18,"Echuca-Mooroopna Road, MOOROOPNA NORTH",398,145.3010607,-36.3255208,"Echuca Rd, Mooroopna North VIC 3629, Australia",2018-August-06,TRUE
Echuca-Mooroopna Road,ST GERMAINS,C,Apr-18,"Echuca-Mooroopna Road, ST GERMAINS",399,145.1561797,-36.2393672,"Echuca Rd, St Germains VIC 3620, Australia",2018-August-06,TRUE
Echuca-Mooroopna Road,UNDERA,BC,Apr-18,"Echuca-Mooroopna Road, UNDERA",400,145.277575,-36.3107193,"Echuca Rd & Lancaster-Mooroopna Rd, Coomboona VIC 3629, Australia",2018-August-06,TRUE
Edgar Street,PORTLAND,C,May-18,"Edgar Street, PORTLAND",401,141.6051304,-38.3640451,"Edgar St, Portland VIC 3305, Australia",2018-August-06,TRUE
Edgars Road,EPPING,C,Apr-18,"Edgars Road, EPPING",402,145.0049758,-37.6245805,"Edgars Rd, Epping VIC 3076, Australia",2018-August-06,TRUE
Edgars Road,EPPING (NEP),BC,Jul-18,"Edgars Road, EPPING (NEP)",403,145.0049758,-37.6245805,"Edgars Rd, Epping VIC 3076, Australia",2018-August-06,TRUE
Edgecombe Road,KYNETON,AC,Apr-18,"Edgecombe Road, KYNETON",404,144.4692173,-37.2143931,"Edgecombe Rd, Kyneton VIC 3444, Australia",2018-August-06,TRUE
Edithvale Road,CHELSEA HEIGHTS,AC,Jun-18,"Edithvale Road, CHELSEA HEIGHTS",405,145.1270801,-38.0309482,"Edithvale Rd, Edithvale VIC 3196, Australia",2018-August-06,TRUE
Edward Road,CHIRNSIDE PARK,ABC,Mar-18,"Edward Road, CHIRNSIDE PARK",406,145.3202608,-37.7365593,"Edward Rd, Chirnside Park VIC 3116, Australia",2018-August-06,TRUE
Edwards Road,MAIDEN GULLY,BC,May-18,"Edwards Road, MAIDEN GULLY",407,144.1953938,-36.760014,"Edwards Rd, Maiden Gully VIC 3551, Australia",2018-August-06,TRUE
Eighth Street,MILDURA,C,Jun-18,"Eighth Street, MILDURA",408,142.1553413,-34.1790955,"Eighth St, Mildura VIC 3500, Australia",2018-August-06,TRUE
Eildon Parade,ROWVILLE,C,Jan-18,"Eildon Parade, ROWVILLE",409,145.2508339,-37.9188578,"Eildon Parade, Rowville VIC 3178, Australia",2018-August-06,TRUE
Eildon-Jamieson Road,EILDON,AC,Apr-18,"Eildon-Jamieson Road, EILDON",410,146.0629535,-37.3220595,"Eildon-Jamieson Rd, Victoria, Australia",2018-August-06,TRUE
Eildon-Jamieson Road,JAMIESON,ABC,Apr-18,"Eildon-Jamieson Road, JAMIESON",411,146.0917948,-37.3060595,"Eildon-Jamieson Rd, Jamieson VIC 3723, Australia",2018-August-06,TRUE
Elcho Road,LARA,BC,Apr-18,"Elcho Road, LARA",412,144.358373,-38.0281364,"Elcho Rd, Lara VIC 3212, Australia",2018-August-06,TRUE
Elder Street,WATSONIA,BC,Jul-18,"Elder Street, WATSONIA",413,145.0897253,-37.7140191,"Elder St, Watsonia VIC 3087, Australia",2018-August-06,TRUE
Eleventh Street,IRYMPLE,C,Jun-18,"Eleventh Street, IRYMPLE",414,142.19705,-34.2227822,"Eleventh St, Mildura VIC 3500, Australia",2018-August-06,TRUE
Eleventh Street,MILDURA,ABC,Jun-18,"Eleventh Street, MILDURA",415,142.1665369,-34.1971756,"Eleventh St, Mildura VIC 3500, Australia",2018-August-06,TRUE
Elgar Road,BOX HILL SOUTH,C,May-18,"Elgar Road, BOX HILL SOUTH",416,145.1115844,-37.8363876,"Elgar Rd, Box Hill South VIC 3128, Australia",2018-August-06,TRUE
Elgar Road,BURWOOD,C,May-18,"Elgar Road, BURWOOD",417,145.1102562,-37.8425712,"Elgar Rd, Burwood VIC 3125, Australia",2018-August-06,TRUE
Elizabeth Drive,SUNBURY,BC,Dec-17,"Elizabeth Drive, SUNBURY",418,144.7206465,-37.5706034,"Elizabeth Dr, Sunbury VIC 3429, Australia",2018-August-06,TRUE
Elizabeth Street,ARARAT,BC,Jul-18,"Elizabeth Street, ARARAT",419,142.9393015,-37.2921388,"Elizabeth St, Ararat VIC 3377, Australia",2018-August-06,TRUE
Elizabeth Street,COBURG,ABC,Apr-18,"Elizabeth Street, COBURG",420,144.9820074,-37.7378498,"Elizabeth St, Coburg VIC 3058, Australia",2018-August-06,TRUE
Elizabeth Street,EDENHOPE,C,Jul-18,"Elizabeth Street, EDENHOPE",421,141.2898181,-37.0360789,"Elizabeth St, Edenhope VIC 3318, Australia",2018-August-06,TRUE
Eltham-Yarra Glen Road,CHRISTMAS HILLS,AC,Apr-18,"Eltham-Yarra Glen Road, CHRISTMAS HILLS",422,145.3084463,-37.6541486,"Eltham-Yarra Glen Rd, Christmas Hills VIC 3775, Australia",2018-August-06,TRUE
Eltham-Yarra Glen Road,KANGAROO GROUND,AC,Apr-18,"Eltham-Yarra Glen Road, KANGAROO GROUND",423,145.2366666,-37.6833806,"Eltham-Yarra Glen Rd, Kangaroo Ground VIC 3097, Australia",2018-August-06,TRUE
Eltham-Yarra Glen Road,WATSONS CREEK,B,Apr-18,"Eltham-Yarra Glen Road, WATSONS CREEK",424,145.2628062,-37.664946,"Eltham-Yarra Glen Rd, Watsons Creek VIC 3097, Australia",2018-August-06,TRUE
Emu Creek Road,STRATHFIELDSAYE,AC,May-18,"Emu Creek Road, STRATHFIELDSAYE",425,144.3571611,-36.8172116,"Emu Creek Rd, Strathfieldsaye VIC 3551, Australia",2018-August-06,TRUE
Emu Road,MAIDSTONE,BC,Feb-18,"Emu Road, MAIDSTONE",426,144.8797247,-37.7796476,"Emu Rd, Maidstone VIC 3012, Australia",2018-August-06,TRUE
Epping Road,WOLLERT,BC,Apr-18,"Epping Road, WOLLERT",427,145.0334962,-37.5907395,"Epping Rd, Wollert VIC 3750, Australia",2018-August-06,TRUE
Epping Road,WOODSTOCK,C,Apr-18,"Epping Road, WOODSTOCK",428,145.0319132,-37.5609397,"Epping Rd, Woodstock VIC 3751, Australia",2018-August-06,TRUE
Epsom Road,ASCOT VALE,C,Dec-17,"Epsom Road, ASCOT VALE",429,144.9142788,-37.7801261,"Epsom Rd, Ascot Vale VIC 3032, Australia",2018-August-06,TRUE
Epsom-Barnadown Road,ASCOT,BC,May-18,"Epsom-Barnadown Road, ASCOT",430,144.3445981,-36.6954674,"Epsom-Barnadown Rd, Ascot VIC 3551, Australia",2018-August-06,TRUE
Ernst Wanke Road,BERWICK,B,Jul-18,"Ernst Wanke Road, BERWICK",431,145.3303944,-38.0157959,"Ernst Wanke Rd, Berwick VIC 3806, Australia",2018-August-06,TRUE
Erskine Road,MACLEOD,AC,Apr-18,"Erskine Road, MACLEOD",432,145.0743215,-37.7290361,"Erskine Rd, Macleod VIC 3085, Australia",2018-August-06,TRUE
Esplanade,ALTONA,B,Feb-18,"Esplanade, ALTONA",433,144.8282671,-37.8705728,"Esplanade, Altona VIC 3018, Australia",2018-August-06,TRUE
Essex Street,WEST FOOTSCRAY,C,Feb-18,"Essex Street, WEST FOOTSCRAY",434,144.8753724,-37.7933846,"Essex St, West Footscray VIC 3012, Australia",2018-August-06,TRUE
Etiwanda Avenue,MILDURA,BC,Jun-18,"Etiwanda Avenue, MILDURA",435,142.1346597,-34.2246122,"Etiwanda Ave, Mildura VIC 3500, Australia",2018-August-06,TRUE
Eureka Street,BALLARAT EAST,ABC,Jul-18,"Eureka Street, BALLARAT EAST",436,143.8871166,-37.565622,"Eureka St, Ballarat East VIC 3350, Australia",2018-August-06,TRUE
Euroa-Mansfield Road,EUROA,ABC,Apr-18,"Euroa-Mansfield Road, EUROA",437,145.5694021,-36.8111359,"Euroa-Mansfield Rd, Euroa VIC 3666, Australia",2018-August-06,TRUE
Euroa-Mansfield Road,GOORAM,ABC,Apr-18,"Euroa-Mansfield Road, GOORAM",438,145.6168974,-36.8784186,"Euroa-Mansfield Rd, Gooram VIC 3666, Australia",2018-August-06,TRUE
Euroa-Shepparton Road,EUROA,C,Apr-18,"Euroa-Shepparton Road, EUROA",439,145.5373654,-36.7189563,"Euroa-Shepparton Rd, Euroa VIC 3666, Australia",2018-August-06,TRUE
Euroa-Shepparton Road,KARRAMOMUS,ABC,Apr-18,"Euroa-Shepparton Road, KARRAMOMUS",440,145.4981721,-36.527114,"Shepparton-Euroa Rd, Karramomus VIC 3631, Australia",2018-August-06,TRUE
Evans Road,CRANBOURNE WEST,B,Jul-18,"Evans Road, CRANBOURNE WEST",441,145.2554389,-38.093314,"Evans Rd, Cranbourne West VIC 3977, Australia",2018-August-06,TRUE
Exford Road,EXFORD,C,Apr-18,"Exford Road, EXFORD",442,144.5489547,-37.7445973,"Exford Rd, Melton South VIC 3338, Australia",2018-August-06,TRUE
Exford Road,MELTON SOUTH,C,Apr-18,"Exford Road, MELTON SOUTH",443,144.5726136,-37.7253407,"Exford Rd, Melton South VIC 3338, Australia",2018-August-06,TRUE
Eynesbury Road,EYNESBURY,BC,Jul-18,"Eynesbury Road, EYNESBURY",444,144.5634676,-37.7706335,"Eynesbury Rd, Eynesbury VIC 3338, Australia",2018-August-06,TRUE
Eyre Street,ECHUCA,C,Apr-18,"Eyre Street, ECHUCA",445,144.7526261,-36.1343134,"Eyre St, Echuca VIC 3564, Australia",2018-August-06,TRUE
Falls Road,MARYSVILLE,B,Apr-18,"Falls Road, MARYSVILLE",446,145.7599757,-37.5208912,"Falls Rd, Marysville VIC 3779, Australia",2018-August-06,TRUE
Federation Way,BOWSER,ABC,Apr-18,"Federation Way, BOWSER",447,146.3870822,-36.1768538,"Federation Way, Victoria, Australia",2018-August-06,TRUE
Felltimber Creek Road,WODONGA,BC,Apr-18,"Felltimber Creek Road, WODONGA",448,146.8516444,-36.1335162,"Felltimber Creek Rd, Wodonga VIC 3690, Australia",2018-August-06,TRUE
Ferris Road,MELTON SOUTH,C,Apr-18,"Ferris Road, MELTON SOUTH",449,144.6008955,-37.7115035,"Ferris Rd, Melton South VIC 3338, Australia",2018-August-06,TRUE
Field Street,RYE,C,May-18,"Field Street, RYE",450,144.8364061,-38.3762053,"Field St, Rye VIC 3941, Australia",2018-August-06,TRUE
Fifteenth Street,IRYMPLE,C,Jun-18,"Fifteenth Street, IRYMPLE",451,142.1658709,-34.2315447,"Fifteenth St, Irymple VIC 3498, Australia",2018-August-06,TRUE
Findon Road,EPPING,BC,Apr-18,"Findon Road, EPPING",452,145.0463603,-37.6394525,"Findon Rd, Epping VIC 3076, Australia",2018-August-06,TRUE
Findon Road,SOUTH MORANG,BC,Apr-18,"Findon Road, SOUTH MORANG",453,145.0641718,-37.6443403,"Findon Rd, South Morang VIC 3752, Australia",2018-August-06,TRUE
Finlay Road,TONGALA,C,Apr-18,"Finlay Road, TONGALA",454,144.960043,-36.2547533,"Finlay Rd, Tongala VIC 3621, Australia",2018-August-06,TRUE
Finlayson Street,ROSANNA,B,Apr-18,"Finlayson Street, ROSANNA",455,145.0706874,-37.7354282,"Finlayson St, Rosanna VIC 3084, Australia",2018-August-06,TRUE
Fisheries Road,DEVON MEADOWS,B,Jul-18,"Fisheries Road, DEVON MEADOWS",456,145.3145536,-38.1794569,"Fisheries Rd, Devon Meadows VIC 3977, Australia",2018-August-06,TRUE
Fitzgerald Street,PORTLAND,C,May-18,"Fitzgerald Street, PORTLAND",457,141.5898165,-38.3362732,"Fitzgerald St, Portland VIC 3305, Australia",2018-August-06,TRUE
Flower Street,FERNTREE GULLY,BC,Jan-18,"Flower Street, FERNTREE GULLY",458,145.2814894,-37.8770622,"Flower St, Ferntree Gully VIC 3156, Australia",2018-August-06,TRUE
Ford Road,SHEPPARTON,BC,Apr-18,"Ford Road, SHEPPARTON",459,145.4177078,-36.3475785,"Ford Rd, Shepparton VIC 3630, Australia",2018-August-06,TRUE
Forrest Street,ALBION,BC,Jul-18,"Forrest Street, ALBION",460,144.8158283,-37.7841716,"Forrest St, Albion VIC 3020, Australia",2018-August-06,TRUE
Forrest Street,ARDEER,BC,Jul-18,"Forrest Street, ARDEER",461,144.8046167,-37.7830134,"Forrest St, Ardeer VIC 3022, Australia",2018-August-06,TRUE
Foster Street,SALE,C,Apr-18,"Foster Street, SALE",462,147.0688719,-38.1114444,"Foster St, Sale VIC 3850, Australia",2018-August-06,TRUE
Fourteenth Street,IRYMPLE,C,Jun-18,"Fourteenth Street, IRYMPLE",463,142.1850055,-34.23009,"Fourteenth St, Irymple VIC 3498, Australia",2018-August-06,TRUE
Frankston-Dandenong Road,BANGHOLME,C,Apr-18,"Frankston-Dandenong Road, BANGHOLME",464,145.2070332,-38.0561852,"Frankston - Dandenong Rd, Bangholme VIC 3175, Australia",2018-August-06,TRUE
Frankston-Dandenong Road,FRANKSTON,C,May-18,"Frankston-Dandenong Road, FRANKSTON",465,145.1360748,-38.1272063,"Frankston - Dandenong Rd, Frankston VIC 3199, Australia",2018-August-06,TRUE
Frankston-Dandenong Road,SEAFORD,C,May-18,"Frankston-Dandenong Road, SEAFORD",466,145.1483983,-38.1187692,"Frankston - Dandenong Rd, Seaford VIC 3198, Australia",2018-August-06,TRUE
Frankston-Flinders Road,BITTERN,ABC,May-18,"Frankston-Flinders Road, BITTERN",467,145.1700459,-38.3433012,"Frankston - Flinders Rd, Bittern VIC 3918, Australia",2018-August-06,TRUE
Frankston-Flinders Road,SOMERVILLE,C,May-18,"Frankston-Flinders Road, SOMERVILLE",468,145.1780613,-38.2264648,"Frankston - Flinders Rd, Somerville VIC 3912, Australia",2018-August-06,TRUE
Frawley Road,HALLAM,ABC,Jul-18,"Frawley Road, HALLAM",469,145.2618486,-38.0001434,"Frawley Rd, Hallam VIC 3803, Australia",2018-August-06,TRUE
Fussell Street,BALLARAT EAST,BC,Jul-18,"Fussell Street, BALLARAT EAST",470,143.893936,-37.567293,"Fussell St, Ballarat East VIC 3350, Australia",2018-August-06,TRUE
Fyansford-Gheringhap Road,GHERINGHAP,BC,Apr-18,"Fyansford-Gheringhap Road, GHERINGHAP",471,144.2491004,-38.0934804,"Fyansford-Gheringhap Rd, Gheringhap VIC 3331, Australia",2018-August-06,TRUE
Gaffney Street,PASCOE VALE,C,Dec-17,"Gaffney Street, PASCOE VALE",472,144.9397013,-37.7316364,"Gaffney St, Pascoe Vale VIC 3044, Australia",2018-August-06,TRUE
Gallaghers Road,GLEN WAVERLEY,C,May-18,"Gallaghers Road, GLEN WAVERLEY",473,145.1776061,-37.8828824,"Gallaghers Rd, Glen Waverley VIC 3150, Australia",2018-August-06,TRUE
Gap Road,SUNBURY,ABC,Dec-17,"Gap Road, SUNBURY",474,144.7005685,-37.5773425,"Gap Rd, Sunbury VIC 3429, Australia",2018-August-06,TRUE
Garden Street,PORTLAND,C,May-18,"Garden Street, PORTLAND",475,141.5973179,-38.3319956,"Garden St, Portland VIC 3305, Australia",2018-August-06,TRUE
Gardenia Street,HORSHAM,AC,Jul-18,"Gardenia Street, HORSHAM",476,142.1928245,-36.720088,"Gardenia St, Horsham VIC 3400, Australia",2018-August-06,TRUE
Gear Avenue,MOUNT HELEN,BC,Jul-18,"Gear Avenue, MOUNT HELEN",477,143.8967799,-37.6298815,"Gear Ave, Mount Helen VIC 3350, Australia",2018-August-06,TRUE
Geelong-Bacchus Marsh Road,ANAKIE,ABC,Apr-18,"Geelong-Bacchus Marsh Road, ANAKIE",478,144.3582316,-37.9387861,"Bacchus Marsh-Geelong Rd, Anakie VIC 3213, Australia",2018-August-06,TRUE
Geelong-Bacchus Marsh Road,BACCHUS MARSH,C,Apr-18,"Geelong-Bacchus Marsh Road, BACCHUS MARSH",479,144.4416647,-37.7565688,"Geelong-Bacchus Marsh Rd, Victoria 3340, Australia",2018-August-06,TRUE
Geelong-Bacchus Marsh Road,BALLIANG,ABC,Apr-18,"Geelong-Bacchus Marsh Road, BALLIANG",480,144.4271972,-37.7841055,"Geelong-Bacchus Marsh Rd, Balliang VIC 3340, Australia",2018-August-06,TRUE
Geelong-Bacchus Marsh Road,BALLIANG EAST,C,Apr-18,"Geelong-Bacchus Marsh Road, BALLIANG EAST",481,144.4148043,-37.7941514,"Geelong-Bacchus Marsh Rd, Balliang East VIC 3340, Australia",2018-August-06,TRUE
Geelong-Ballan Road,BALLAN,ABC,Apr-18,"Geelong-Ballan Road, BALLAN",482,144.214626,-37.629756,"Geelong-Ballan Rd, Ballan VIC 3342, Australia",2018-August-06,TRUE
Geelong-Ballan Road,BEREMBOKE,ABC,Apr-18,"Geelong-Ballan Road, BEREMBOKE",483,144.2142427,-37.788158,"Geelong-Ballan Rd, Beremboke VIC 3342, Australia",2018-August-06,TRUE
Geelong-Ballan Road,MOUNT WALLACE,ABC,Apr-18,"Geelong-Ballan Road, MOUNT WALLACE",484,144.2179829,-37.7339159,"Geelong-Ballan Rd, Mount Wallace VIC 3342, Australia",2018-August-06,TRUE
George Street,DONCASTER,C,May-18,"George Street, DONCASTER",485,145.1335999,-37.7787577,"George St, Doncaster VIC 3108, Australia",2018-August-06,TRUE
George Street,HAMILTON,C,May-18,"George Street, HAMILTON",486,142.0343551,-37.7455669,"George St, Hamilton VIC 3300, Australia",2018-August-06,TRUE
George Street,SANDRINGHAM,AC,Jun-18,"George Street, SANDRINGHAM",487,145.0287648,-37.9597479,"George St, Sandringham VIC 3191, Australia",2018-August-06,TRUE
Gibsons Road,SALE,C,Apr-18,"Gibsons Road, SALE",488,147.0871117,-38.0827654,"Gibsons Rd, Sale VIC 3850, Australia",2018-August-06,TRUE
Gillies Road,ASCOT,BC,Jul-18,"Gillies Road, ASCOT",489,143.8490983,-37.4021961,"Gillies Rd, Ascot VIC 3364, Australia",2018-August-06,TRUE
Gillies Road,BALD HILLS,BC,Jul-18,"Gillies Road, BALD HILLS",490,143.8411909,-37.4424694,"Gillies Rd, Bald Hills VIC 3364, Australia",2018-August-06,TRUE
Gillies Road,MOUNT ROWAN,BC,Jul-18,"Gillies Road, MOUNT ROWAN",491,143.8301084,-37.4982076,"Gillies Rd, Mount Rowan VIC 3352, Australia",2018-August-06,TRUE
Gillies Road,SULKY,BC,Jul-18,"Gillies Road, SULKY",492,143.8377189,-37.4590003,"Gillies Rd, Sulky VIC 3352, Australia",2018-August-06,TRUE
Gisborne Road,BACCHUS MARSH,C,Apr-18,"Gisborne Road, BACCHUS MARSH",493,144.4435927,-37.6639427,"Gisborne Rd, Bacchus Marsh VIC 3340, Australia",2018-August-06,TRUE
Gisborne-Kilmore Road,NEW GISBORNE,C,Apr-18,"Gisborne-Kilmore Road, NEW GISBORNE",494,144.6048682,-37.4818697,"Kilmore Rd, Gisborne VIC, Australia",2018-August-06,TRUE
Gisborne-Melton Road,KURUNJANG,ABC,Jul-18,"Gisborne-Melton Road, KURUNJANG",495,144.6004196,-37.6605717,"Gisborne-Melton Rd, Kurunjang VIC 3337, Australia",2018-August-06,TRUE
Gisborne-Melton Road,MELTON,BC,Apr-18,"Gisborne-Melton Road, MELTON",496,144.5924742,-37.6146609,"Gisborne-Melton Rd, Victoria 3337, Australia",2018-August-06,TRUE
Gisborne-Melton Road,TOOLERN VALE,ABC,Apr-18,"Gisborne-Melton Road, TOOLERN VALE",497,144.5888543,-37.6030054,"Gisborne-Melton Rd, Toolern Vale VIC 3337, Australia",2018-August-06,TRUE
Gladesville Boulevard,PATTERSON LAKES (SCS),ACD,Mar-18,"Gladesville Boulevard, PATTERSON LAKES (SCS)",498,145.1456958,-38.0704727,"Gladesville Blvd, Patterson Lakes VIC 3197, Australia",2018-August-06,TRUE
Gladstone Road,DANDENONG NORTH,C,Apr-18,"Gladstone Road, DANDENONG NORTH",499,145.2074379,-37.9560285,"Gladstone Rd, Dandenong North VIC 3175, Australia",2018-August-06,TRUE
Glen Huntly Road,ELWOOD,BC,Jul-18,"Glen Huntly Road, ELWOOD",500,144.987386,-37.882742,"Glen Huntly Rd, Elwood VIC 3184, Australia",2018-August-06,TRUE
Glen Katherine Drive,ST HELENA,B,Apr-18,"Glen Katherine Drive, ST HELENA",501,145.1329816,-37.6926344,"Glen Katherine Dr, St Helena VIC 3088, Australia",2018-August-06,TRUE
Glencairn Drive,GREENVALE,BC,Dec-17,"Glencairn Drive, GREENVALE",502,144.8898557,-37.6473013,"Glencairn Dr, Greenvale VIC 3059, Australia",2018-August-06,TRUE
Gleneagles Drive,ENDEAVOUR HILLS,B,Jul-18,"Gleneagles Drive, ENDEAVOUR HILLS",503,145.2718227,-37.9678043,"Gleneagles Dr, Endeavour Hills VIC 3802, Australia",2018-August-06,TRUE
Glenelg Highway,CARRANBALLAC,C,Jul-18,"Glenelg Highway, CARRANBALLAC",504,143.178327,-37.6996995,"Glenelg Hwy, Carranballac VIC 3361, Australia",2018-August-06,TRUE
Glenelg Highway,CASTERTON,C,May-18,"Glenelg Highway, CASTERTON",505,141.3569585,-37.6029714,"Glenelg Hwy, Casterton VIC 3311, Australia",2018-August-06,TRUE
Glenelg Highway,COLERAINE,C,May-18,"Glenelg Highway, COLERAINE",506,141.6854884,-37.5974959,"Glenelg Hwy, Coleraine VIC 3315, Australia",2018-August-06,TRUE
Glenelg Highway,DUNKELD,ABC,May-18,"Glenelg Highway, DUNKELD",507,142.3487453,-37.6501361,"Glenelg Hwy, Dunkeld VIC 3294, Australia",2018-August-06,TRUE
Glenelg Highway,GLENTHOMPSON,C,May-18,"Glenelg Highway, GLENTHOMPSON",508,142.5318921,-37.636097,"Glenelg Hwy, Glenthompson VIC 3293, Australia",2018-August-06,TRUE
Glenelg Highway,HAMILTON,C,May-18,"Glenelg Highway, HAMILTON",509,142.3635674,-37.6530319,"Glenelg Hwy, Australia",2018-August-06,TRUE
Glenelg Highway,LAKE BOLAC,AC,Jul-18,"Glenelg Highway, LAKE BOLAC",510,142.8415326,-37.7118343,"Glenelg Hwy, Lake Bolac VIC 3351, Australia",2018-August-06,TRUE
Glenelg Highway,PITTONG,C,Apr-18,"Glenelg Highway, PITTONG",511,143.4768832,-37.6686664,"Glenelg Hwy, Pittong VIC 3360, Australia",2018-August-06,TRUE
Glenelg Highway,SKIPTON,C,Jul-18,"Glenelg Highway, SKIPTON",512,143.3351166,-37.6861136,"Glenelg Hwy, Skipton VIC 3361, Australia",2018-August-06,TRUE
Glenelg Highway,SMYTHES CREEK,C,Jul-18,"Glenelg Highway, SMYTHES CREEK",513,143.7653366,-37.5992414,"Glenelg Hwy, Smythes Creek VIC 3351, Australia",2018-August-06,TRUE
Glenelg Highway,SMYTHESDALE,BC,Apr-18,"Glenelg Highway, SMYTHESDALE",514,143.6771116,-37.6497769,"Glenelg Hwy, Smythesdale VIC 3351, Australia",2018-August-06,TRUE
Glenelg Highway,STREATHAM,C,Jul-18,"Glenelg Highway, STREATHAM",515,143.0786938,-37.6833423,"Glenelg Hwy, Streatham VIC 3351, Australia",2018-August-06,TRUE
Glenelg Highway,WANNON,C,May-18,"Glenelg Highway, WANNON",516,141.8335414,-37.6650915,"Glenelg Hwy, Wannon VIC 3301, Australia",2018-August-06,TRUE
Glenelg Highway,WARRAYURE,AC,May-18,"Glenelg Highway, WARRAYURE",517,142.1742357,-37.7108531,"Glenelg Hwy, Warrayure VIC 3301, Australia",2018-August-06,TRUE
Glenelg Highway,WESTMERE,C,Jul-18,"Glenelg Highway, WESTMERE",518,142.9722531,-37.6884409,"Glenelg Hwy, Westmere VIC 3351, Australia",2018-August-06,TRUE
Glenelg Highway,WICKLIFFE,AC,Jul-18,"Glenelg Highway, WICKLIFFE",519,142.7186301,-37.6875211,"Glenelg Hwy, Wickliffe VIC 3379, Australia",2018-August-06,TRUE
Glenelg Highway,WILKIN,C,May-18,"Glenelg Highway, WILKIN",520,142.3635674,-37.6530319,"Glenelg Hwy, Australia",2018-August-06,TRUE
Glenfern Road,UPWEY,ABC,Mar-18,"Glenfern Road, UPWEY",521,145.3214276,-37.917517,"Glenfern Rd, Upwey VIC 3158, Australia",2018-August-06,TRUE
Glenferrie Road,MALVERN,C,Jul-18,"Glenferrie Road, MALVERN",522,145.0296043,-37.854544,"Glenferrie Rd, Malvern VIC 3144, Australia",2018-August-06,TRUE
Glengarry West Road,GLENGARRY WEST,AC,Apr-18,"Glengarry West Road, GLENGARRY WEST",523,146.5236481,-38.1471627,"Glengarry W Rd, Glengarry West VIC 3854, Australia",2018-August-06,TRUE
Glenrowan Myrtleford Road,MARKWOOD,C,Apr-18,"Glenrowan Myrtleford Road, MARKWOOD",524,146.2321651,-36.4468841,"Glenrowan VIC 3675, Australia",2018-August-06,TRUE
Glenrowan-Myrtleford Road,LACEBY,AC,Apr-18,"Glenrowan-Myrtleford Road, LACEBY",525,146.2418844,-36.4694514,"Laceby-Glenrowan Rd, Glenrowan VIC 3675, Australia",2018-August-06,TRUE
