row_index,location_long,location_short,longitude,latitude
233,"CityLink, Domain Tunnel approximately 725m after tunnel entrance, Melbourne",CityLink Domain Tunnel Melbourne,144.977088,-37.8255482
234,"Lincoln Causeway at the intersection of Lincoln Causeway and Hume Highway ramp, Wodonga",Wodonga,146.89386963844,-36.11026441392
235,"At the intersection of Thompson Road and Separation Street, Bell Park",Bell Park,144.343338,-38.110911
236,"Ballarat Road at the intersection of Ballarat Road and Churchill Avenue, Maidstone",Maidstone,144.86910492182,-37.782974843594
237,"Kooyong Road at the intersection of Kooyong Road and Dandenong Road, Armadale",Armadale,145.019342,-37.862464
238,"Canterbury Road at the intersection of Canterbury Road and Station Street, Box Hill",Box Hill,145.12166976929,-37.828687965426
239,"Nepean Highway at the intersection of Nepean Highway and Warrigal Road, Mentone",Mentone,145.0711530447,-37.981868311557
240,"Princes Highway at the intersection of Princes Highway and Belgrave Road, Malvern East",Malvern East,145.06732016802,-37.884622088321
241,"At the intersection of Nepean Highway and Centre Road, Brighton East",Brighton East,145.017901,-37.916079
242,"Punt Road at the intersection of Punt Road and Commercial Road, Melbourne",Melbourne,144.98495489359,-37.845814353113
243,"Blackburn Road at the intersection of Blackburn Road and Burwood Highway, Burwood East",Burwood East,145.1520960778,-37.852393239085
244,"Mont Albert Road at the intersection of Mont Albert Road and Union Road, Surrey Hills",Surrey Hills,145.09818837047,-37.820415672091
245,"Mahoneys Road at the intersection of Mahoneys Road and High Street, Thomastown",Thomastown,145.01117348671,-37.69485324861
246,"Whitehorse Road at the intersection of Whitehorse Road and Surrey Road, Blackburn",Blackburn,145.15607714653,-37.817674985759
247,"Kings Road at the intersection of Kings Road and Melton Highway, Taylors Lakes",Taylors Lakes,144.78109896183,-37.697552859475
248,"The Boulevard at the intersection of The Boulevard and Melbourne Road, Norlane",Norlane,144.35474574566,-38.098749973736
249,"Midland Highway, Eastbound at Bagshot level crossing 40m west of Peatlings Road, Bagshot",Midland Highway Bagshot Eastbound,144.40448999405,-36.654007405095
250,"Midland Highway, Westbound at Bagshot level crossing 40m west of Peatlings Road, Bagshot",Midland Highway Bagshot Westbound,144.40424859524,-36.653947154227
251,"Sturt Street at the intersection of Sturt Street and Gillies Street, Lake Gardens",Lake Gardens,143.81873846054,-37.555639429325
252,"At the intersection of Pascoe Vale Road and Peck Avenue, Strathmore",Strathmore,144.923851,-37.730116
253,"Hume Freeway, Southbound 60m south of O'Herns Road, Epping",Hume Freeway Epping,144.99345481396,-37.634749804179
254,"Princes Freeway, Forsyth Road Bridge, Geelong Bound, Point Cook",Princes Freeway Point Cook,144.73675131798,-37.873549179776
255,"Princes Freeway, Point Wilson Road Bridge, Melbourne Bound, Little River",Princes Freeway Little River,144.53332185745,-37.981864083293
256,"Foster Street at the intersection of Foster Street and McCrae Street, Dandenong",Dandenong,145.21820783615,-37.988582487657
257,"At the intersection of Narre Warren North Road and Ernst Wanke Road, Narre Warren",Narre Warren,145.312598,-37.996825
258,"High Street at the intersection of High Street and Don Street, Bendigo",Bendigo,144.27031517029,-36.763504176378
259,"Centre Road at the intersection of Centre Road and Warrigal Road, Bentleigh East",Bentleigh East,145.08230835199,-37.923947856003
260,"Ogilvie Avenue at the intersection of Ogilvie Avenue and High Street, Echuca",Echuca,144.75106358528,-36.140062502038
261,"At the intersection of King Street and La Trobe Street, West Melbourne",West Melbourne,144.953907,-37.812296
262,"Elizabeth Street at the intersection of Elizabeth Street and La Trobe Street, Melbourne",Melbourne,144.96135950089,-37.810195053414
263,"Princes Highway at the intersection of Princes Highway and Pioneer Road, Grovedale",Grovedale,144.31883364916,-38.196798560514
264,"Princes Highway at the intersection of Princes Highway and Gladstone Road, Dandenong",Dandenong,145.20343154669,-37.975064719366
265,"Sydney Road at the intersection of Sydney Road and Barry Road, Campbellfield",Campbellfield,144.95491415262,-37.667081027816
266,"Western Ring Road, Northbound Boundary Road South Side Gantry, Laverton North",Western Ring Road Laverton North,144.80925679207,-37.819353098784
267,"Dandenong Road at the intersection of Dandenong Road and Chapel Street, St Kilda",St Kilda,144.99211102724,-37.857500803122
268,"Dorset Road at the intersection of Dorset Road and Canterbury Road, Bayswater North",Bayswater North,145.28762072325,-37.82583635884
269,"Barkly Street at the intersection of Barkly Street and Carlisle Street, St Kilda",St Kilda,144.98127490282,-37.867096581319
270,"Ringwood Street at the intersection of Ringwood Street and Maroondah Highway, Ringwood",Ringwood,145.22740781307,-37.815613312357
271,"At the intersection of Maroondah Highway and Mount Dandenong Road, Ringwood",Ringwood,145.237836,-37.810925
272,"Alma Road at the intersection of Alma Road and Chapel Street, St Kilda",St Kilda,144.99146997929,-37.861420580111
273,"Flinders Street at the intersection of Flinders Street and William Street, Melbourne",Melbourne,144.96025711298,-37.819612122301
274,"At the intersection of Canterbury Road and Mitcham Road, Vermont",Vermont,145.195165,-37.836017
275,"At the intersection of Maroondah Highway and Ringwood Bypass, Ringwood",Ringwood,145.237042,-37.811215
276,"Stud Road at the intersection of Stud Road and Ferntree Gully Road, Scoresby",Scoresby,145.23312225938,-37.899377203642
277,"Nicholson Street at the intersection of Nicholson Street and Princes Street, Carlton",Carlton,144.975433,-37.793332
278,"Harp Road at the intersection of Harp Road and Burke Road, Kew East",Kew East,145.0623768568,-37.80075188112
279,"Springvale Road at the intersection of Springvale Road and Wellington Road, Mulgrave",Mulgrave,145.15861988068,-37.918799935405
280,"Ashley Street at the intersection of Ashley Street and Churchill Avenue, Maidstone",Maidstone,144.86449554563,-37.786450254796
281,"Bell Street at the intersection of Bell Street and Plenty Road, Preston",Preston,145.00633612275,-37.745665624517
282,"Canterbury Road at the intersection of Canterbury Road and Colchester Road, Kilsyth South",Kilsyth South,145.30439257622,-37.821584167249
283,"Hawthorn Road at the intersection of Hawthorn Road and Inkerman Road, Caulfield North",Caulfield North,145.02533823252,-37.869524179746
284,"Maroondah Highway at the intersection of Maroondah Highway and Springvale Road, Nunawading",Nunawading,145.17626613378,-37.818486502251
285,"Hoddle Street at the intersection of Hoddle Street and Victoria Parade, East Melbourne",East Melbourne,144.99117,-37.810066
286,"Nicholson Street at the intersection of Nicholson Street and Victoria Parade, East Melbourne",East Melbourne,144.97303381562,-37.808213697929
