row_index,location_long,location_short,longitude,latitude,lga_code
122,"Glen Eira Road at the intersection of Glen Eira Road and Kooyong Road, Caulfield",Caulfield,145.0164092,-37.87920202,22310
123,"Hallam Road at the intersection of Hallam Road and Fordholm Road, Hampton Park",Hampton Park,145.2671233,-38.03580112,21610
124,"Munro Street at the intersection of Munro Street and Sydney Road, Coburg",Coburg,144.9658066,-37.74494875,25250
125,"Hume Freeway, Northbound 65m south of O'Herns Road, Epping",Hume Freeway Epping,144.9932832,-37.63438871,27070
126,"Fifteenth Street at the intersection of Fifteenth Street and San Mateo Avenue, Mildura",Mildura,142.1413064,-34.21081288,24780
127,"Hume Freeway, Northbound 66m south of Amaroo Road, Craigieburn",Hume Freeway Craigieburn,144.9439949,-37.58415474,23270
128,"Hume Freeway, Northbound Station Street, Wallan East",Hume Freeway Wallan East,145.0056696,-37.41028086,24850
129,"South Gippsland Highway at the intersection of South Gippsland Highway and Lynbrook Boulevard, Lynbrook",Lynbrook,145.2575076,-38.05064259,21610
130,"Sydney Road at the intersection of Sydney Road and Mahoneys Road, Campbellfield",Campbellfield,144.9581409,-37.68937944,23270
131,"Gladstone Road at the intersection of Gladstone Road and Heatherton Road, Dandenong North",Dandenong North,145.2051026,-37.96876164,22670
132,"Victoria Street at the intersection of Victoria Street and Doncaster Road, Doncaster",Doncaster,145.1438382,-37.78681379,24210
133,"Alexandra Parade at the intersection of Alexandra Parade and George Street, Fitzroy North",Fitzroy North,144.9826039,-37.79344828,27350
134,"Geelong Road at the intersection of Geelong Road and Droop Street, Footscray",Footscray,144.8967826,-37.79650672,24330
135,"St Kilda Road at the intersection of St Kilda Road and Union Street, Melbourne",Melbourne,144.9818596,-37.85318267,25900
136,"Shannon Avenue at the intersection of Shannon Avenue and Noble Street, Newtown",Newtown,144.334192,-38.15251446,22750
137,"Cemetery Road West at the intersection of Cemetery Road West and Royal Parade, Parkville",Parkville,144.9590233,-37.78995412,24600
138,"Royal Parade at the intersection of Royal Parade and Gatehouse Street, Parkville",Parkville,144.9583635,-37.79270749,24600
139,"Wyndham Street at the intersection of Wyndham Street and High Street, Shepparton",Shepparton,145.3992194,-36.38117516,22830
140,"Latrobe Terrace at the intersection of Latrobe Terrace and Fyans Street, South Geelong",South Geelong,144.3502986,-38.16028225,22750
141,"High Street at the intersection of High Street and Verene Avenue, Templestowe Lower",Templestowe Lower,145.1184028,-37.76805596,24210
142,"At the intersection of Narre Warren North Road and Ernst Wanke Road, Narre Warren North",Narre Warren North,145.312807,-37.996561,21610
143,"Hoddle Street at the intersection of Hoddle Street and Victoria Street, Abbotsford",Abbotsford,144.9915263,-37.80948198,27350
144,"Macauley Road at the intersection of Macauley Road and Stubbs Street, Kensington",Kensington,144.934964,-37.79501,24600
145,"Williamstown Road at the intersection of Williamstown Road and Somerville Road, Yarraville",Yarraville,144.8835245,-37.81271988,24330
146,"Western Ring Road, Eastbound West of Sydney Road, Broadmeadows",Western Ring Road Broadmeadows,144.940392,-37.692822,23270
147,"Western Ring Road, Glenroy, Westbound, approximately 600 metres West of Sydney Road","Western Ring Road, Glenroy",144.951528,-37.692194,23270
148,"At the intersection of Francis Street and Wembley Avenue, Yarraville",Yarraville,144.873922,-37.819301,24330
149,"At the intersection of Francis Street and Wembley Avenue, Yarraville",Yarraville,144.874239,-37.819404,24330
150,"Elizabeth Street at the intersection of Elizabeth Street and Victoria Street, Melbourne",Melbourne,144.9596107,-37.80609454,24600
151,"Hall Road at the intersection of Hall Road and Dandenong-Frankston Road, Carrum Downs",Carrum Downs,145.1728946,-38.09959533,22170
152,"Nepean Highway at the intersection of Nepean Highway and Main Street, Mornington",Mornington,145.044626,-38.22949567,25340
153,"Elgar Road at the intersection of Elgar Road and Arnold Street, Box Hill",Box Hill,145.1156214,-37.81382493,26980
154,"EastLink, Mullum Mullum Tunnel, approximately 600m prior to tunnel exit, Donvale",EastLink Donvale,145.209775,-37.80663069,24210
155,"EastLink, Melba Tunnel, approximately 500m prior to tunnel exit, Donvale",EastLink Donvale,145.1979733,-37.80259568,24210
156,"Western Ring Road, Southbound Western Highway North Side Gantry, Ardeer",Western Ring Road Ardeer,144.7989249,-37.76801355,21180
157,"Whitehorse Road at the intersection of Whitehorse Road and Elgar Road, Box Hill",Box Hill,145.1152244,-37.81699907,26980
158,"Whitehorse Road at the intersection of Whitehorse Road and Burke Road, Balwyn",Balwyn,145.0608695,-37.81041332,21110
159,"Loddon Valley Highway at the intersection of Loddon Valley Highway and Calder Highway, Ironbark",Ironbark,144.2637759,-36.75570381,22620
160,"Western Ring Road, Southbound Boundary Road, North Side Gantry, Sunshine West",Western Ring Road Sunshine West,144.808141,-37.81235223,21180
161,"At the intersection of Springvale Road and Canterbury Road, Forest Hill",Forest Hill,145.172888,-37.834568,26980
162,"At the intersection of Murray Road and Elizabeth Street, Coburg",Coburg,144.983032,-37.735994,21890
163,"Alexandra Parade at the intersection of Alexandra Parade and Smith Street, Fitzroy North",Fitzroy North,144.9850273,-37.7937111,27350
164,"Stud Road at the intersection of Stud Road and Wellington Road, Rowville",Rowville,145.2330914,-37.92781861,23670
165,"High Street at the intersection of High Street and Summerhill Road, Glen Iris",Glen Iris,145.0744736,-37.86274407,21110
166,"Princes Highway at the intersection of Princes Highway and Fitzgerald Road, Hallam",Hallam,145.2784556,-38.00865582,21610
167,"At the intersection of Plenty Road and Kingsbury Drive, Bundoora",Bundoora,145.043196,-37.716897,21890
168,"At the intersection of Plenty Road and Dunne Street, Kingsbury",Kingsbury,145.042777,-37.717054,21890
169,"High Street Road at the intersection of High Street Road and Huntingdale Road, Mount Waverley",Mount Waverley,145.1118743,-37.86797637,24970
170,"Grimshaw Street at the intersection of Grimshaw Street and Macorna Street, Watsonia North",Watsonia North,145.0840116,-37.70249552,20660
171,"Union Road at the intersection of Union Road and Mont Albert Road, Surrey Hills",Surrey Hills,145.0983694,-37.820368,21110
172,"Maribyrnong Road at the intersection of Maribyrnong Road and Mt Alexander Road, Moonee Ponds",Moonee Ponds,144.9267429,-37.77273844,25060
173,"Burwood Highway at the intersection of Burwood Highway and Springvale Road, Vermont South",Vermont South,145.1695821,-37.85499869,26980
174,"Mountain Highway at the intersection of Mountain Highway and Wantirna Road, Wantirna",Wantirna,145.2271155,-37.84886851,23670
175,"Peninsula Link Freeway and Eramosa Road West Bridge Southbound, Moorooduc",Peninsula Link Moorooduc,145.129346,-38.216577,25340
176,"Terminal Drive at the intersection of Terminal Drive and Centre Road, Melbourne Airport",Melbourne Airport,144.8522224,-37.67305432,23270
177,"At the intersection of Moorabool Street and Fyans Street, South Geelong",South Geelong,144.354006,-38.161811,22750
178,"At the intersection of Princes Highway and Station Street, Corio",Corio,144.369064,-38.075386,22750
179,"Burwood Highway at the intersection of Burwood Highway and Stud Road, Wantirna South",Wantirna South,145.2349931,-37.86884874,23670
180,"At the intersection of Settlement Road and Torquay Road, Belmont",Belmont,144.344643,-38.182323,22750
181,"Stud Road at the intersection of Stud Road and Heatherton Road, Dandenong",Dandenong,145.2233818,-37.97116685,22670
182,"Seymour Grove at the intersection of Seymour Grove and Camberwell Road, Camberwell",Camberwell,145.0620268,-37.83607705,21110
183,"Nicholson Street at the intersection of Nicholson Street and Elgin Street, Carlton",Carlton,144.9747625,-37.79810266,24600
184,"At the intersection of North Road and Clayton Road, Oakleigh East",Oakleigh East,145.121705,-37.913625,24970
185,"Fitzroy Street at the intersection of Fitzroy Street and Lakeside Drive, St Kilda",St Kilda,144.980198,-37.85800164,25900
186,"Middleborough Road at the intersection of Middleborough Road and Eastern Freeway, Box Hill North",Box Hill North,145.1421002,-37.79885823,26980
187,"Nepean Highway at the intersection of Nepean Highway and Karen Street, Highett",Highett,145.0518841,-37.95728001,23430
188,"York Street at the intersection of York Street and MacArthur Street, Sale",Sale,147.068063,-38.10503133,26810
189,"At the intersection of Barkers Road and Glenferrie Road, Hawthorn",Hawthorn,145.036965,-37.814747,21110
190,"Williamsons Road at the intersection of Williamsons Road and Doncaster Road, Doncaster",Doncaster,145.1248482,-37.78719534,24210
191,"At the intersection of Brighton Road and Glen Eira Road, Ripponlea",Ripponlea,144.992417,-37.876144,25900
192,"EastLink Northbound, Wellington Road Bridge, Rowville",EastLink Rowville,145.2129507,-37.92537812,23670
193,"Peninsula Link Freeway and Eramosa Road West Bridge Northbound, Moorooduc",Peninsula Link Moorooduc,145.128987,-38.216572,25340
194,"Peninsula Link Freeway and Loders Road Bridge Northbound, Moorooduc",Peninsula Link Moorooduc,145.106703,-38.262989,25340
195,"Peninsula Link Freeway and Mornington-Tyabb Road Bridge Southbound, Moorooduc",Peninsula Link Moorooduc,145.117899,-38.252096,25340
196,"Dandenong Road at the intersection of Dandenong Road and Warrigal Road, Malvern East",Malvern East,145.0879973,-37.89290253,26350
197,"Kings Way at the intersection of Kings Way and Park Street, South Melbourne",South Melbourne,144.9677485,-37.83324692,25900
198,"Park Road at the intersection of Park Road and Charman Road, Cheltenham",Cheltenham,145.0558162,-37.96545235,23430
199,"Fitzroy Street at the intersection of Fitzroy Street and Princes Street, St Kilda",St Kilda,144.9806714,-37.85798576,25900
200,"Prospect Hill Road at the intersection of Prospect Hill Road and Burke Road, Camberwell",Camberwell,145.0574416,-37.8281954,21110
201,"Princes Highway at the intersection of Princes Highway and South Gippsland Freeway, Eumemmerring",Eumemmerring,145.2513921,-38.00347684,21610
202,"CityLink, Burnley Tunnel approximately 430 metres after tunnel entrance, Southbank",CityLink Burnley Tunnel Southbank,144.9700499,-37.82497196,24600
