Period,CSI,Transport Mode,Scale,Measure,Source Document,CSI bracket,year_full,month_short,date_full
Oct-Dec '12,74.9,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2012,Oct,13-Oct-2012
Jan-Mar '13,75.2,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2013,Jan,13-Jan-2013
Apr-Jun'13,76.5,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2013,Apr,13-Apr-2013
Jul-Sep'13,75.9,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2013,Jul,13-Jul-2013
Oct-Dec '13,76.3,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2013,Oct,13-Oct-2013
Jan-Mar '14,76.3,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2014,Jan,13-Jan-2014
Apr-Jun'14,76.2,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2014,Apr,13-Apr-2014
Jul-Sep'14,76.2,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2014,Jul,13-Jul-2014
Oct-Dec'14,75.2,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2014,Oct,13-Oct-2014
Jan-Mar'15,76.5,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2015,Jan,13-Jan-2015
Apr-Jun'15,76.6,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2015,Apr,13-Apr-2015
Jul-Sep '15,76.9,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2015,Jul,13-Jul-2015
Oct-Dec’15,76.1,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2015,Oct,13-Oct-2015
Jan-Mar '16,77.7,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Jan,13-Jan-2016
Apr-Jun '16,76.0,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Apr,13-Apr-2016
Jul-Sep '16,76.6,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Jul,13-Jul-2016
Oct-Dec’16,76.1,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2016,Oct,13-Oct-2016
Jan-Mar '17,76.7,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Jan,13-Jan-2017
Apr-Jun '17,75.9,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Apr,13-Apr-2017
Jul-Sep '17,76.9,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Jul,13-Jul-2017
Oct-Dec'17,76.6,metro bus,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2017,Oct,13-Oct-2017
Oct-Dec'12,75.7,vline train,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2012,Oct,13-Oct-2012
Jan-Mar'13,76.4,vline train,0-to-10-scale,satisfaction,PTV_Customer-Satisfaction-Monitor_Oct-Dec_2017_accessible-version.docx,Somewhat satisfied,2013,Jan,13-Jan-2013
